from_stop_id,to_stop_id,transfer_type,min_transfer_time
2476,3813108,2,218
2252,3812978,2,210
2150,3811267,2,199
2533,3687424,2,187
1916,5121368,2,269
2533,3687425,2,189
1916,6591481,2,269
1977,6251749,2,245
2252,3812979,2,221
2346,4024524,2,198
2150,6591485,2,229
2346,4024523,2,198
2031,6591485,2,229
2031,6591486,2,237
2150,6591486,2,237
1977,3764663,2,275
2031,4726719,2,195
1653,3442423,2,246
1653,3442422,2,227
2167,5018341,2,245
2233,5454887,2,198
1690,3813059,2,215
5709974,2167,2,273
2004,4008272,2,206
1811,5018343,2,278
2167,3687426,2,273
2026,4008871,2,213
1811,5018342,2,267
2241,6591481,2,269
2500,4726730,2,215
1977,4036927,2,273
2500,3813059,2,215
3764470,1903,2,190
6673108,2167,2,275
2241,1657,2,133
1653,3687425,2,189
1653,3687424,2,187
2476,3893422,2,220
2476,3893423,2,194
2018,5018345,2,213
2018,5018344,2,217
1666,3812963,2,207
8433,3813172,2,260
8433,3813171,2,256
4471733,1952,2,197
1672,2167,2,300
1927,3812978,2,210
1666,4009666,2,226
3807589,2252,2,243
1952,3887757,2,232
2256,4008273,2,283
4024988,2005,2,238
2167,4651132,2,273
1927,3812979,2,221
2167,3765205,2,195
2476,3765210,2,218
3716888,1811,2,276
2167,4036772,2,245
2194,3442590,2,241
2167,4036872,2,275
1927,3813119,2,221
1927,3813118,2,210
8433,3740547,2,199
8433,3740548,2,207
5727695,2005,2,203
2167,3764814,2,275
8433,3740549,2,224
2005,3442590,2,241
3716975,2167,2,245
5727690,2194,2,218
2193,3681815,2,230
2533,1845,2,105
3807588,1690,2,279
2193,3681816,2,201
2193,3681818,2,312
2194,4008265,2,218
2533,3812926,2,227
1666,3765210,2,218
1903,3893531,2,214
3343756,2241,2,180
1903,3893530,2,232
4037260,1952,2,208
4471841,1952,2,208
1817,3893545,2,234
4025058,2194,2,230
5727690,2005,2,218
3716975,1977,2,245
1977,6591520,2,273
2476,4009626,2,194
6673107,2167,2,273
1977,3813068,2,195
3343755,2241,2,180
3716976,1811,2,276
2207,3926338,2,208
3343755,1916,2,180
2476,4726732,2,207
2004,4008260,2,218
5709975,2167,2,275
4726707,1666,2,207
2194,4008270,2,230
2194,4008271,2,216
1666,5138220,2,194
1666,4009626,2,194
5727688,2005,2,218
1927,3812933,2,243
2256,4008869,2,272
1867,3687423,2,235
1666,3812930,2,217
2354,2353,2,71
1977,3813070,2,245
1867,4037039,2,235
2005,4015831,2,241
3716887,1977,2,245
1952,4044998,2,197
2193,3681846,2,201
2193,3681845,2,312
