from_stop_id,to_stop_id,transfer_type,min_transfer_time
2477,5138183,2,226
6408760,1870,2,207
4037294,2526,2,238
2512,4037035,2,198
3764747,1826,2,238
1782,3926247,2,288
1723,1715,2,480
1826,1827,2,370
5761432,2282,2,251
2365,3926246,2,251
1723,3747809,2,195
4037277,1792,2,188
1826,1825,2,396
4009616,2365,2,406
6423450,2279,2,225
3764456,2501,2,251
1743,3813341,2,214
1743,3813340,2,232
1723,2469,2,149
4037283,2468,2,226
2496,5138029,2,255
5156448,2337,2,322
1723,1724,2,141
4009231,1870,2,218
4009632,1669,2,204
1723,3747810,2,195
2428,3813507,2,190
2428,3813506,2,208
2428,4037029,2,228
1826,4037037,2,216
5067574,1986,2,183
3812956,1691,2,185
3343763,1982,2,180
1782,2391,2,79
2421,3750043,2,251
4009272,2337,2,258
2421,3750045,2,244
4009642,2468,2,269
2365,3764966,2,415
3740513,1686,2,227
2421,4035715,2,194
4009638,1982,2,202
2421,4035714,2,210
4009636,2052,2,211
2363,2365,2,108
4037297,1826,2,251
2337,6682606,2,253
2337,6682607,2,233
3343764,2172,2,180
3813041,1842,2,200
2365,3764967,2,209
2282,4035721,2,184
2468,1166840,2,180
2282,4035720,2,251
2365,3887778,2,280
2468,1166841,2,180
2365,3887779,2,252
1841,5657274,2,235
3765210,2477,2,218
2308,3764501,2,260
2308,3764500,2,243
4009634,2479,2,279
2174,4037032,2,209
2512,4473023,2,198
2282,5770806,2,234
2282,5770807,2,184
3812959,1782,2,208
4473147,2365,2,251
4009620,1826,2,280
2174,3749880,2,209
5747306,2468,2,216
2365,3887780,2,223
6613842,1743,2,274
2365,3813156,2,251
3807618,2392,2,208
1841,5657271,2,197
1826,3887812,2,238
2308,4016317,2,225
1841,5657272,2,225
1841,5657273,2,243
4009626,2477,2,194
2468,5158082,2,241
3764784,2365,2,238
5710056,2267,2,211
2468,5158081,2,226
6408777,2337,2,250
1883,5018150,2,245
1883,5018151,2,225
1686,4016339,2,288
1826,3926186,2,421
1826,3926187,2,434
4726707,1667,2,207
1826,3926188,2,209
1826,3926189,2,252
3740514,1686,2,212
3765442,2172,2,209
3764747,2365,2,238
1826,4472995,2,216
4037289,2052,2,211
1826,4472994,2,432
1826,4472993,2,432
4009633,2101,2,211
1826,4472992,2,251
1826,4037001,2,252
1826,4037002,2,251
1792,2401,2,108
2479,3687097,2,227
4036852,1883,2,225
2479,3687098,2,198
5761990,2402,2,188
1826,4037000,2,280
1723,4036748,2,227
1826,4037004,2,405
1723,4036747,2,226
1826,4037003,2,434
5761432,1886,2,251
2468,4459239,2,226
1723,4036749,2,216
3765218,2052,2,223
2468,4036660,2,254
2468,4036661,2,227
4022887,2172,2,222
3764708,2365,2,423
3740559,1723,2,192
6408746,1870,2,250
2337,4473008,2,236
1826,3926190,2,280
2337,4473009,2,236
2468,4459240,2,216
5710055,1883,2,257
1750,4037029,2,228
2468,5158083,2,216
6408763,1870,2,262
2496,4016339,2,288
2468,3749690,2,192
2455,5138040,2,191
2468,3749691,2,247
3765153,1723,2,226
3807622,1667,2,207
2468,3749689,2,189
2468,3749688,2,214
5709999,1906,2,226
1723,5657328,2,214
6217417,1723,2,247
4037296,2365,2,280
2279,5018150,2,245
2365,3813115,2,238
2279,5018151,2,225
2365,3813116,2,208
2365,3813113,2,405
2365,3813114,2,226
2365,3813112,2,405
4726732,2477,2,207
2392,3887810,2,218
3765466,2101,2,259
2365,4037037,2,216
3807586,1667,2,217
1792,3749664,2,210
6423451,2279,2,245
3741063,1883,2,200
2526,4036996,2,238
1792,3749663,2,188
2476,2477,2,57
2402,2401,2,122
4687336,2176,2,206
1869,3811234,2,234
1869,3811235,2,343
1750,4473015,2,228
2468,3893335,2,195
2468,3893336,2,195
1723,4008888,2,225
2455,3893419,2,254
2455,3893418,2,241
3765435,2455,2,241
