trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,shape_dist_traveled
10015398150912430,09:36:00,09:36:00,1166840,1,,
10015398150912430,09:37:00,09:37:00,1166838,2,,
10015398150912430,09:39:00,09:39:00,6129304,3,,
10015398150912430,09:43:00,09:43:00,1166834,4,,
10015398150912430,09:46:00,09:46:00,1166832,5,,
10015398150912430,09:47:00,09:47:00,1166830,6,,
10015398150912430,09:49:00,09:49:00,1166828,7,,
10015398150912430,09:50:00,09:50:00,1166826,8,,
10015398150912430,09:52:00,09:52:00,1166824,9,,
10115398150912430,09:39:00,09:39:00,1166840,1,,
10115398150912430,09:40:00,09:40:00,1166838,2,,
10115398150912430,09:42:00,09:42:00,6129304,3,,
10115398150912430,09:45:00,09:45:00,1166834,4,,
10115398150912430,09:48:00,09:48:00,1166832,5,,
10115398150912430,09:49:00,09:49:00,1166830,6,,
10115398150912430,09:51:00,09:51:00,1166828,7,,
10115398150912430,09:52:00,09:52:00,1166826,8,,
10115398150912430,09:54:00,09:54:00,1166824,9,,
1015398150912430,06:08:00,06:08:00,1166840,1,,
1015398150912430,06:09:00,06:09:00,1166838,2,,
1015398150912430,06:11:00,06:11:00,6129304,3,,
1015398150912430,06:15:00,06:15:00,1166834,4,,
1015398150912430,06:18:00,06:18:00,1166832,5,,
1015398150912430,06:20:00,06:20:00,1166830,6,,
1015398150912430,06:21:00,06:21:00,1166828,7,,
1015398150912430,06:23:00,06:23:00,1166826,8,,
1015398150912430,06:25:00,06:25:00,1166824,9,,
10215398150912430,09:41:00,09:41:00,1166840,1,,
10215398150912430,09:42:00,09:42:00,1166838,2,,
10215398150912430,09:44:00,09:44:00,6129304,3,,
10215398150912430,09:47:00,09:47:00,1166834,4,,
10215398150912430,09:50:00,09:50:00,1166832,5,,
10215398150912430,09:52:00,09:52:00,1166830,6,,
10215398150912430,09:53:00,09:53:00,1166828,7,,
10215398150912430,09:55:00,09:55:00,1166826,8,,
10215398150912430,09:56:00,09:56:00,1166824,9,,
10315398150912430,09:43:00,09:43:00,1166840,1,,
10315398150912430,09:44:00,09:44:00,1166838,2,,
10315398150912430,09:46:00,09:46:00,6129304,3,,
10315398150912430,09:49:00,09:49:00,1166834,4,,
10315398150912430,09:52:00,09:52:00,1166832,5,,
10315398150912430,09:54:00,09:54:00,1166830,6,,
10315398150912430,09:55:00,09:55:00,1166828,7,,
10315398150912430,09:57:00,09:57:00,1166826,8,,
10315398150912430,09:58:00,09:58:00,1166824,9,,
10415398150912430,09:45:00,09:45:00,1166840,1,,
10415398150912430,09:46:00,09:46:00,1166838,2,,
10415398150912430,09:48:00,09:48:00,6129304,3,,
10415398150912430,09:52:00,09:52:00,1166834,4,,
10415398150912430,09:55:00,09:55:00,1166832,5,,
10415398150912430,09:56:00,09:56:00,1166830,6,,
10415398150912430,09:58:00,09:58:00,1166828,7,,
10415398150912430,09:59:00,09:59:00,1166826,8,,
10415398150912430,10:01:00,10:01:00,1166824,9,,
10515398150912430,09:48:00,09:48:00,1166840,1,,
10515398150912430,09:49:00,09:49:00,1166838,2,,
10515398150912430,09:51:00,09:51:00,6129304,3,,
10515398150912430,09:54:00,09:54:00,1166834,4,,
10515398150912430,09:57:00,09:57:00,1166832,5,,
10515398150912430,09:58:00,09:58:00,1166830,6,,
10515398150912430,10:00:00,10:00:00,1166828,7,,
10515398150912430,10:01:00,10:01:00,1166826,8,,
10515398150912430,10:03:00,10:03:00,1166824,9,,
10615398150912430,09:50:00,09:50:00,1166840,1,,
10615398150912430,09:51:00,09:51:00,1166838,2,,
10615398150912430,09:53:00,09:53:00,6129304,3,,
10615398150912430,09:57:00,09:57:00,1166834,4,,
10615398150912430,10:00:00,10:00:00,1166832,5,,
10615398150912430,10:02:00,10:02:00,1166830,6,,
10615398150912430,10:04:00,10:04:00,1166828,7,,
10615398150912430,10:05:00,10:05:00,1166826,8,,
10615398150912430,10:07:00,10:07:00,1166824,9,,
10715398150912430,09:53:00,09:53:00,1166840,1,,
10715398150912430,09:54:00,09:54:00,1166838,2,,
10715398150912430,09:56:00,09:56:00,6129304,3,,
10715398150912430,10:00:00,10:00:00,1166834,4,,
10715398150912430,10:03:00,10:03:00,1166832,5,,
10715398150912430,10:05:00,10:05:00,1166830,6,,
10715398150912430,10:07:00,10:07:00,1166828,7,,
10715398150912430,10:08:00,10:08:00,1166826,8,,
10715398150912430,10:10:00,10:10:00,1166824,9,,
10815398150912430,09:56:00,09:56:00,1166840,1,,
10815398150912430,09:57:00,09:57:00,1166838,2,,
10815398150912430,09:59:00,09:59:00,6129304,3,,
10815398150912430,10:03:00,10:03:00,1166834,4,,
10815398150912430,10:06:00,10:06:00,1166832,5,,
10815398150912430,10:08:00,10:08:00,1166830,6,,
10815398150912430,10:10:00,10:10:00,1166828,7,,
10815398150912430,10:11:00,10:11:00,1166826,8,,
10815398150912430,10:13:00,10:13:00,1166824,9,,
10915398150912430,09:59:00,09:59:00,1166840,1,,
10915398150912430,10:00:00,10:00:00,1166838,2,,
10915398150912430,10:02:00,10:02:00,6129304,3,,
10915398150912430,10:06:00,10:06:00,1166834,4,,
10915398150912430,10:09:00,10:09:00,1166832,5,,
10915398150912430,10:11:00,10:11:00,1166830,6,,
10915398150912430,10:13:00,10:13:00,1166828,7,,
10915398150912430,10:14:00,10:14:00,1166826,8,,
10915398150912430,10:16:00,10:16:00,1166824,9,,
11015398150912430,10:02:00,10:02:00,1166840,1,,
11015398150912430,10:03:00,10:03:00,1166838,2,,
11015398150912430,10:05:00,10:05:00,6129304,3,,
11015398150912430,10:09:00,10:09:00,1166834,4,,
11015398150912430,10:12:00,10:12:00,1166832,5,,
11015398150912430,10:14:00,10:14:00,1166830,6,,
11015398150912430,10:16:00,10:16:00,1166828,7,,
11015398150912430,10:17:00,10:17:00,1166826,8,,
11015398150912430,10:19:00,10:19:00,1166824,9,,
11115398150912430,10:05:00,10:05:00,1166840,1,,
11115398150912430,10:06:00,10:06:00,1166838,2,,
11115398150912430,10:08:00,10:08:00,6129304,3,,
11115398150912430,10:12:00,10:12:00,1166834,4,,
11115398150912430,10:15:00,10:15:00,1166832,5,,
11115398150912430,10:17:00,10:17:00,1166830,6,,
11115398150912430,10:19:00,10:19:00,1166828,7,,
11115398150912430,10:20:00,10:20:00,1166826,8,,
11115398150912430,10:22:00,10:22:00,1166824,9,,
1115398150912430,06:12:00,06:12:00,1166840,1,,
1115398150912430,06:13:00,06:13:00,1166838,2,,
1115398150912430,06:15:00,06:15:00,6129304,3,,
1115398150912430,06:19:00,06:19:00,1166834,4,,
1115398150912430,06:22:00,06:22:00,1166832,5,,
1115398150912430,06:24:00,06:24:00,1166830,6,,
1115398150912430,06:26:00,06:26:00,1166828,7,,
1115398150912430,06:27:00,06:27:00,1166826,8,,
1115398150912430,06:29:00,06:29:00,1166824,9,,
11215398150912430,10:08:00,10:08:00,1166840,1,,
11215398150912430,10:09:00,10:09:00,1166838,2,,
11215398150912430,10:11:00,10:11:00,6129304,3,,
11215398150912430,10:15:00,10:15:00,1166834,4,,
11215398150912430,10:18:00,10:18:00,1166832,5,,
11215398150912430,10:20:00,10:20:00,1166830,6,,
11215398150912430,10:22:00,10:22:00,1166828,7,,
11215398150912430,10:23:00,10:23:00,1166826,8,,
11215398150912430,10:25:00,10:25:00,1166824,9,,
11315398150912430,10:11:00,10:11:00,1166840,1,,
11315398150912430,10:12:00,10:12:00,1166838,2,,
11315398150912430,10:14:00,10:14:00,6129304,3,,
11315398150912430,10:18:00,10:18:00,1166834,4,,
11315398150912430,10:21:00,10:21:00,1166832,5,,
11315398150912430,10:23:00,10:23:00,1166830,6,,
11315398150912430,10:25:00,10:25:00,1166828,7,,
11315398150912430,10:26:00,10:26:00,1166826,8,,
11315398150912430,10:28:00,10:28:00,1166824,9,,
11415398150912430,10:14:00,10:14:00,1166840,1,,
11415398150912430,10:15:00,10:15:00,1166838,2,,
