from_stop_id,to_stop_id,transfer_type,min_transfer_time
1166834,3764615,2,252
1166832,3747837,2,249
1166827,3765300,2,217
1166834,3764616,2,199
4008837,1166841,2,269
1166834,3764617,2,213
4008837,1166840,2,269
1166834,4036768,2,213
1166834,4036767,2,246
1166834,4036769,2,240
1166833,3926299,2,249
5325151,1166828,2,409
5325151,1166829,2,409
4036869,1166834,2,199
1166833,3926298,2,263
1166834,3764812,2,160
1166838,4008206,2,234
1166834,3764811,2,243
4036869,1166835,2,199
3749937,1166841,2,249
3749937,1166840,2,249
4726942,1166833,2,319
3716943,1166839,2,209
3716943,1166838,2,209
3749916,1166841,2,226
6129304,4016331,2,201
4472690,1166841,2,206
1166832,4035992,2,255
4472690,1166840,2,206
1166832,4035991,2,263
1166832,4035990,2,249
4726942,1166832,2,319
3749916,1166840,2,226
6129304,4016332,2,269
1869,1166838,2,180
3343765,1166838,2,180
3343765,1166839,2,180
1869,1166839,2,180
1166840,4473192,2,247
1166840,4473191,2,225
1166840,4473190,2,225
1166840,4016359,2,205
3687087,1166835,2,282
3687087,1166834,2,282
1166832,4035989,2,197
1166825,3765303,2,213
1166832,4035988,2,207
4472692,1166840,2,247
4472692,1166841,2,247
4037785,1166834,2,243
4037785,1166835,2,243
3765193,1166832,2,189
1166838,4008207,2,343
5727702,1166834,2,243
1166825,3765302,2,205
1166840,4036747,2,226
1166827,3887747,2,279
3765193,1166833,2,189
3716945,1166840,2,214
1166840,4036748,2,227
1166840,4036749,2,216
3716945,1166841,2,214
1166841,5657328,2,214
5727702,1166835,2,243
6591847,1166835,2,241
1166835,3764661,2,199
5231611,1166832,2,263
6591847,1166834,2,241
1166835,3764660,2,252
1166834,3764845,2,308
5231611,1166833,2,263
6129305,4016332,2,269
6129305,4016331,2,201
1166832,3764979,2,258
2468,1166840,2,180
2468,1166841,2,180
3765256,1166833,2,213
3893455,1166825,2,243
1166841,3893336,2,195
1166841,3893335,2,195
3764511,1166834,2,282
3764511,1166835,2,282
3893455,1166824,2,243
6217416,1166840,2,231
4471844,1166833,2,189
4471844,1166832,2,189
6217416,1166841,2,231
1166840,3893335,2,195
1166840,3893336,2,195
5675643,1166833,2,262
5675643,1166832,2,262
2068,1166830,2,180
5675644,1166832,2,197
5675644,1166833,2,197
4726739,1166835,2,243
2068,1166831,2,180
4726739,1166834,2,243
3765256,1166832,2,213
3926345,1166826,2,279
3926345,1166827,2,279
6114729,1166835,2,265
5675641,1166832,2,207
6114729,1166834,2,265
1166841,3749689,2,189
5675641,1166833,2,207
1166841,3749688,2,214
5158082,1166840,2,241
5158082,1166841,2,241
1166832,3764980,2,263
3716873,1166841,2,214
3716873,1166840,2,214
1166841,3749690,2,192
1968,1166835,2,360
1166833,4044996,2,263
1968,1166834,2,360
4472774,1166841,2,227
1166841,3749691,2,247
4473116,1166841,2,231
4472774,1166840,2,227
4473116,1166840,2,231
3716875,1166838,2,343
3716875,1166839,2,343
1166835,4016268,2,314
1166835,4016267,2,160
4037786,1166835,2,198
4037786,1166834,2,198
3716894,1166833,2,213
3716894,1166832,2,213
3716964,1166831,2,196
3716964,1166830,2,196
1166834,4036649,2,314
1166834,4036648,2,213
1166833,3813086,2,189
1166834,6591457,2,204
1166833,3813085,2,197
1166834,6591456,2,200
1166833,3813084,2,190
1166833,3813083,2,258
3893479,1166827,2,217
1166833,3813082,2,319
3893479,1166826,2,217
3812920,1166834,2,160
3812920,1166835,2,160
4996975,1166832,2,220
4996975,1166833,2,220
1166835,3764617,2,213
6114732,1166835,2,256
6673110,1166835,2,207
1166835,3764616,2,199
1166831,4035985,2,216
1166835,3764615,2,252
1166831,4035984,2,196
6673110,1166834,2,207
6114732,1166834,2,256
1166835,4770182,2,199
1166835,4770181,2,243
1166824,3765303,2,213
1166835,4770184,2,209
1166824,3765302,2,205
1166835,4770183,2,256
5675648,1166829,2,351
5675648,1166828,2,351
3687241,1166834,2,246
5675639,1166830,2,196
1166833,4036640,2,258
5675639,1166831,2,196
3687241,1166835,2,246
5478365,1166829,2,422
4008888,1166841,2,225
1166835,4016265,2,221
5478365,1166828,2,422
4008888,1166840,2,225
1166835,4016266,2,221
1166834,4459253,2,221
1166834,4459252,2,246
1166838,4008281,2,201
4726944,1166832,2,190
6129305,5138033,2,252
4726944,1166833,2,190
3893454,1166825,2,213
3893454,1166824,2,213
5710036,1166835,2,160
2223,1166835,2,360
2223,1166834,2,360
1166834,2220,2,420
3765443,1166838,2,209
1166834,2222,2,480
1166841,1724,2,180
3765443,1166839,2,209
1166839,4008281,2,201
5150763,1166832,2,207
5150763,1166833,2,207
5710036,1166834,2,160
5018386,1166834,2,213
4726945,1166833,2,197
1166835,3442415,2,152
5018386,1166835,2,213
4726945,1166832,2,197
1166835,3442416,2,152
1166835,4036986,2,189
1166829,3765298,2,406
1166835,4036985,2,200
4036870,1166835,2,189
1166832,1955,2,420
1166832,1956,2,180
1166834,4651135,2,209
1166832,4036205,2,263
1166834,3926439,2,160
1166832,4036207,2,249
1166834,4651134,2,243
1166832,4036206,2,197
3812919,1166835,2,230
3812919,1166834,2,230
1166835,4651135,2,209
1166835,4651134,2,243
4036870,1166834,2,189
1166824,3765262,2,243
1166824,3765261,2,268
4798881,1166826,2,252
1166833,3926339,2,213
4798881,1166827,2,252
1166833,4037184,2,249
5675635,1166828,2,421
1166833,4037183,2,258
5675635,1166829,2,421
4009664,1166840,2,225
1166830,1956,2,900
2117,1166830,2,180
2117,1166831,2,180
4009664,1166841,2,225
1166833,4036207,2,249
1166833,4036205,2,263
1166833,4036206,2,197
1166841,4036827,2,254
1166833,3764979,2,258
1166833,3764980,2,263
5727629,1166835,2,308
5727629,1166834,2,308
1166834,3764660,2,252
1166834,3764661,2,199
1166831,2211,2,900
3812967,1166835,2,243
1166835,4036649,2,314
1166835,4036648,2,213
3812967,1166834,2,243
1166841,4459239,2,226
1166841,4459240,2,216
1166832,3926299,2,249
1166832,3926298,2,263
5727628,1166835,2,160
4009640,1166838,2,343
4009640,1166839,2,343
5727628,1166834,2,160
1166834,4016265,2,221
6129305,5138170,2,252
6129305,5138171,2,288
1166840,4036827,2,254
3764548,1166835,2,314
3764548,1166834,2,314
3716966,1166833,2,189
3716966,1166832,2,189
1166835,1967,2,480
1166835,1965,2,420
1166835,4036769,2,240
1166826,3887747,2,279
1166835,4036768,2,213
5747304,1166841,2,226
5747304,1166840,2,226
1166835,4036767,2,246
1166835,3687428,2,246
3716920,1166828,2,421
4726740,1166835,2,256
3716920,1166829,2,421
4726740,1166834,2,256
4726946,1166833,2,207
4726946,1166832,2,207
1166841,4473192,2,247
1166841,4473191,2,225
1166835,4016327,2,308
4996974,1166832,2,205
1166834,4016268,2,314
1166835,4036822,2,314
1166835,4016326,2,243
1966,1166835,2,360
1966,1166834,2,360
1166834,4016266,2,221
1166834,4016267,2,160
1166835,4016325,2,177
1722,1166840,2,180
1166835,4016324,2,243
1722,1166841,2,180
4996974,1166833,2,205
6673109,1166835,2,207
4723802,1166829,2,422
4723802,1166828,2,422
6673109,1166834,2,207
4726947,1166833,2,215
4726947,1166832,2,215
3740515,1166840,2,214
1166841,4473190,2,225
