service_id,date,exception_type
2360618,20170508,1
12280245,20170723,1
12280245,20170730,1
12280245,20170806,1
12280245,20170813,1
12280245,20170820,1
12280244,20170507,1
12280244,20170514,1
12280244,20170521,1
12280244,20170528,1
12280244,20170604,1
12280244,20170611,1
12280244,20170618,1
12280244,20170625,1
12280244,20170702,1
12280244,20170709,1
12280244,20170715,1
12280244,20170716,1
12280244,20170827,1
12280244,20170903,1
12280244,20170910,1
12280244,20170917,1
12280244,20170924,1
12280244,20171001,1
12280244,20171008,1
12280244,20171015,1
12280244,20171022,1
12280244,20171029,1
12280247,20170805,1
12280247,20170812,1
12280247,20170815,1
12280246,20170513,1
12280246,20170520,1
12280246,20170525,1
12280246,20170603,1
12280246,20170610,1
12280246,20170617,1
12280246,20170624,1
12280246,20170701,1
12280246,20170902,1
12280246,20170909,1
12280246,20170916,1
12280246,20170923,1
12280246,20170930,1
12280246,20171007,1
12280246,20171014,1
12280246,20171021,1
12280241,20170704,1
12280241,20170705,1
12280241,20170706,1
12280241,20170707,1
12280241,20170822,1
12280241,20170823,1
12280241,20170824,1
12280241,20170825,1
12280241,20170829,1
12280241,20170830,1
12280241,20170831,1
12280241,20170901,1
12280241,20171024,1
12280241,20171025,1
12280241,20171026,1
12280241,20171027,1
12280241,20171031,1
12280241,20171103,1
12280243,20170505,1
12280243,20170510,1
12280243,20170511,1
12280243,20170512,1
12280243,20170516,1
12280243,20170517,1
12280243,20170518,1
12280243,20170519,1
12280243,20170523,1
12280243,20170524,1
12280243,20170530,1
12280243,20170531,1
12280243,20170601,1
12280243,20170602,1
12280243,20170607,1
12280243,20170608,1
12280243,20170609,1
12280243,20170613,1
12280243,20170614,1
12280243,20170615,1
12280243,20170616,1
12280243,20170620,1
12280243,20170621,1
12280243,20170623,1
12280243,20170627,1
12280243,20170628,1
12280243,20170629,1
12280243,20170630,1
12280243,20170905,1
12280243,20170906,1
12280243,20170907,1
12280243,20170908,1
12280243,20170912,1
12280243,20170913,1
12280243,20170914,1
12280243,20170915,1
12280243,20170919,1
12280243,20170920,1
12280243,20170921,1
12280243,20170922,1
12280243,20170926,1
12280243,20170927,1
12280243,20170928,1
12280243,20170929,1
12280243,20171003,1
12280243,20171004,1
12280243,20171005,1
