from_stop_id,to_stop_id,transfer_type,min_transfer_time
4037765,2048,2,200
4024291,2258,2,290
4023408,2258,2,290
3687253,2062,2,216
3749908,1945,2,190
4037231,1755,2,227
2030,2147,2,74
4022903,1755,2,264
4037247,2429,2,257
3687252,2111,2,191
4015824,2258,2,290
4472658,2283,2,230
3716895,2210,2,373
3813548,2429,2,225
4770182,2036,2,199
3687300,2062,2,205
6423502,2116,2,259
2084,2147,2,211
4036220,2154,2,194
4996975,2210,2,400
6114729,2155,2,265
3811240,2544,2,229
6114731,1892,2,226
2154,3685790,2,208
2154,3685791,2,204
3747936,2443,2,197
4472696,1755,2,230
4028763,2154,2,234
4037768,2028,2,241
4009365,1887,2,233
3813194,2433,2,230
6423502,2067,2,259
4037207,2544,2,229
3672263,2429,2,225
4037785,2036,2,243
1803,4035033,2,207
1803,4035034,2,269
3764615,1892,2,212
3672168,1751,2,213
5018183,2028,2,203
5709888,2067,2,223
4037161,2154,2,194
4726949,2111,2,209
4726946,2210,2,356
3672262,2371,2,269
4037234,2098,2,200
3747960,2035,2,216
3813082,1955,2,259
3687253,2111,2,216
5454893,1892,2,226
3687428,2036,2,246
2029,2147,2,64
4023368,1803,2,274
3813079,2062,2,241
4028837,2035,2,247
6251746,2288,2,239
4472697,2433,2,264
4024814,2283,2,267
4472670,1856,2,196
1835,1832,2,230
4472671,2323,2,234
4037764,1755,2,186
4037160,2035,2,207
5761326,1755,2,216
4037196,2036,2,221
4472663,1933,2,275
4016742,2342,2,296
6423505,2154,2,208
6114730,1892,2,199
1913,2283,2,180
6673109,2155,2,207
5657318,2371,2,272
3672237,1832,2,269
5727631,1773,2,191
6114732,2155,2,256
3813139,2147,2,224
3749983,2147,2,207
6114729,1892,2,199
6664353,1832,2,201
4037795,2048,2,207
4726945,2210,2,373
4024288,1803,2,211
3685862,2035,2,204
3764808,1864,2,216
6251746,2036,2,235
4726747,2028,2,224
4016329,2331,2,216
2144,2544,2,72
3748071,2470,2,224
4037166,2116,2,223
3813137,2147,2,284
5454895,2155,2,314
4459253,2036,2,221
4022891,2083,2,210
3687087,2036,2,282
4016265,2288,2,245
5709892,2035,2,193
3687123,2062,2,241
2223,2155,2,360
4022902,2433,2,222
3442415,2036,2,152
3813549,1751,2,218
3716877,1980,2,202
4036765,1864,2,234
4037195,2288,2,226
3672235,1751,2,213
4022994,2342,2,216
6309089,1933,2,303
5657314,2429,2,252
4726740,1892,2,226
4037793,1980,2,202
6664357,1832,2,219
4022892,1945,2,253
4036768,2155,2,213
3343791,2443,2,180
4008849,2028,2,208
4146114,2429,2,265
4997022,2210,2,310
4770183,2155,2,256
4037163,2035,2,204
3926377,1751,2,257
4016737,2283,2,286
4037169,2429,2,213
2339,1832,2,90
5454907,1892,2,226
1774,1773,2,54
4037769,2216,2,245
4037174,2371,2,196
1966,2036,2,264
5709980,2036,2,314
4037747,2283,2,230
4023410,1933,2,275
4037210,2200,2,235
3813138,2147,2,205
4037776,2544,2,229
3690067,2429,2,213
3813102,2111,2,195
4037162,2154,2,208
5727702,2155,2,243
3672106,1751,2,225
5454907,2288,2,226
2222,2036,2,400
2035,5922225,2,201
2035,5922224,2,204
1166834,2155,2,180
3749781,1773,2,216
3749779,2383,2,226
3343792,2443,2,180
2035,3685682,2,204
4037195,1892,2,226
4459253,2288,2,245
4726943,1955,2,198
4022944,2098,2,200
4036643,2111,2,191
4016266,2288,2,245
1967,2036,2,400
6591457,2036,2,204
4016265,2036,2,221
4028836,2154,2,234
4008223,2028,2,208
3765441,1980,2,239
2035,3685681,2,208
2035,3685680,2,201
4037169,1751,2,213
4037795,2098,2,207
4037210,1945,2,235
3764615,2288,2,212
4024792,2283,2,286
3672170,2371,2,269
3926292,2443,2,215
4037759,1856,2,234
3812967,2155,2,243
4036870,2036,2,189
2112,2111,2,96
4022912,1803,2,269
2545,2147,2,254
4726945,1955,2,373
3687241,2036,2,246
4036192,2035,2,208
4037752,2342,2,207
4037787,2288,2,237
4044993,2111,2,197
3740325,2147,2,203
4037769,1961,2,245
3811241,2083,2,210
4035991,1955,2,383
1651,2371,2,166
1166833,1955,2,420
2384,1773,2,89
4459252,2036,2,246
6217406,2028,2,191
4023032,2083,2,210
3926377,2429,2,257
2172,1980,2,119
4036769,2155,2,240
4016327,2036,2,308
3877770,1933,2,290
4022899,2028,2,259
4016326,2155,2,243
4037751,2258,2,275
4024197,1887,2,299
4016328,2331,2,233
4024110,2283,2,286
3687088,2036,2,246
3672264,1751,2,257
4726740,2288,2,226
4022893,2200,2,235
4037789,1864,2,233
4036217,2067,2,225
5231611,1955,2,383
3811237,2170,2,239
3764983,2062,2,195
6251745,2036,2,235
2116,5922222,2,265
2116,5922223,2,259
3673588,2210,2,383
3764513,2288,2,226
4022918,2283,2,311
4472672,1856,2,292
3813083,2210,2,198
4037770,1961,2,196
2172,2170,2,96
3926376,1751,2,257
4024344,2283,2,270
4044996,1955,2,383
3813010,2433,2,250
3687302,2036,2,294
4016325,2155,2,177
5251748,1755,2,216
3764979,1955,2,198
4146115,2429,2,213
3813193,2433,2,222
3926384,1864,2,244
4035989,1955,2,373
3687242,2155,2,282
3748072,1725,2,260
4036767,2036,2,246
4037165,2116,2,259
4022907,2323,2,196
1835,2371,2,222
6664354,2371,2,252
5478405,2154,2,201
3765256,1955,2,390
5675643,1955,2,286
3716942,1980,2,239
4037201,2383,2,191
5231611,2210,2,383
4037243,2111,2,241
6114730,2036,2,265
3764846,2383,2,191
3765289,2429,2,252
3747835,2062,2,241
4037265,2062,2,209
3877768,1803,2,252
4471843,2210,2,310
4016330,2383,2,191
3764615,2036,2,252
4996977,2210,2,259
4037762,2433,2,227
4037202,2498,2,269
6423486,2371,2,189
5709894,2035,2,218
1965,2155,2,250
3764510,2036,2,246
4024109,2283,2,278
6251745,2288,2,239
4008222,2028,2,191
3690067,1751,2,213
4037786,2036,2,198
3893399,2383,2,233
3764616,2036,2,199
4036647,2288,2,226
3893408,2083,2,210
4008848,2028,2,191
3687085,2288,2,226
3748057,2062,2,216
4022912,2342,2,269
4996980,2062,2,195
6456076,2283,2,286
3687079,2062,2,209
4726739,2036,2,243
6416985,1751,2,265
4036985,2155,2,200
2338,1832,2,74
3716895,1955,2,373
5150763,2210,2,279
1166835,2155,2,180
4037751,1933,2,275
4798794,2035,2,194
4037219,1755,2,222
3747837,2210,2,189
4022944,2048,2,200
4037234,2048,2,200
4459260,2210,2,189
5675644,1955,2,373
3764809,1864,2,233
5018181,2147,2,279
4022902,1755,2,222
5454894,2036,2,282
4024169,2283,2,270
2238,2283,2,180
5710039,2331,2,234
3764506,2383,2,201
3877767,2342,2,252
4037204,2170,2,211
3813078,2062,2,264
3687697,2035,2,201
3687078,2062,2,191
3926385,1864,2,244
4037215,2147,2,241
2220,2155,2,210
3813194,1755,2,230
5709890,2116,2,302
6251746,1892,2,239
5710036,2155,2,160
6423504,2035,2,204
4472674,2433,2,227
4009637,1980,2,239
4726740,2036,2,256
3764812,2155,2,160
4037197,2155,2,198
5150763,1955,2,279
3343785,2111,2,180
3687430,2288,2,226
5231613,2210,2,189
3812919,2155,2,230
5657315,2429,2,236
5478404,2035,2,207
5709979,2036,2,243
3747937,2443,2,221
6114730,2288,2,199
3672105,1832,2,269
4726944,2210,2,310
4037760,2323,2,292
3716926,2210,2,359
2339,2371,2,90
4037787,1892,2,237
3748094,2111,2,220
5709893,2035,2,201
3686057,2154,2,234
1982,2170,2,96
4726938,2062,2,197
4037184,2210,2,189
4037767,2028,2,259
3764770,2200,2,262
3764511,2036,2,282
4037222,2323,2,292
4037787,2155,2,240
3748066,1832,2,201
