service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2360618,0,0,0,0,0,0,0,20170508,20170508
12280245,0,0,0,0,0,0,0,20170723,20170820
12280244,0,0,0,0,0,0,0,20170507,20171029
12280247,0,0,0,0,0,0,0,20170805,20170815
12280246,0,0,0,0,0,0,0,20170513,20171021
12280241,0,0,0,0,0,0,0,20170704,20171103
12280243,0,0,0,0,0,0,0,20170505,20171020
12280242,0,0,0,0,0,0,0,20170711,20170818
2280245,0,0,0,0,0,0,0,20170722,20170819
2280246,0,0,0,0,0,0,0,20170512,20171020
2280247,0,0,0,0,0,0,0,20170804,20170814
2280248,0,0,0,0,0,0,0,20170707,20171031
2280249,0,0,0,0,0,0,0,20170526,20170818
12280237,0,0,0,0,0,0,0,20170508,20170605
12280238,0,0,0,0,0,0,0,20170724,20170821
12280239,0,0,0,0,0,0,0,20170802,20170811
12280422,0,0,0,0,0,0,0,20170622,20170622
2280241,0,0,0,0,0,0,0,20170703,20171102
2280242,0,0,0,0,0,0,0,20170710,20170817
2360619,0,0,0,0,0,0,0,20170505,20170505
2280243,0,0,0,0,0,0,0,20170504,20171019
2280244,0,0,0,0,0,0,0,20170506,20171028
12280236,0,0,0,0,0,0,0,20170515,20171102
2280422,0,0,0,0,0,0,0,20170621,20170621
2280238,0,0,0,0,0,0,0,20170723,20170820
2280239,0,0,0,0,0,0,0,20170801,20170810
12360618,0,0,0,0,0,0,0,20170509,20170509
2280236,0,0,0,0,0,0,0,20170514,20171101
12360619,0,0,0,0,0,0,0,20170506,20170506
2280237,0,0,0,0,0,0,0,20170507,20170604
12280249,0,0,0,0,0,0,0,20170527,20170819
12280248,0,0,0,0,0,0,0,20170708,20171101
