service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2280430,0,0,0,0,0,0,0,20170621,20170621
12280365,0,0,0,0,0,0,0,20170604,20170924
12280368,0,0,0,0,0,0,0,20170527,20170729
12377318,0,0,0,0,0,0,0,20170509,20171102
12280367,0,0,0,0,0,0,0,20170805,20170826
12377319,0,0,0,0,0,0,0,20170507,20171029
12280361,0,0,0,0,0,0,0,20170802,20170901
12280363,0,0,0,0,0,0,0,20170704,20170728
12280360,0,0,0,0,0,0,0,20170508,20170508
2280360,0,0,0,0,0,0,0,20170507,20170507
2280361,0,0,0,0,0,0,0,20170801,20170831
2280363,0,0,0,0,0,0,0,20170703,20170727
2280365,0,0,0,0,0,0,0,20170603,20170923
12383706,0,0,0,0,0,0,0,20170505,20171103
2280367,0,0,0,0,0,0,0,20170804,20170825
2280368,0,0,0,0,0,0,0,20170526,20170728
2280369,0,0,0,0,0,0,0,20170505,20171031
12280359,0,0,0,0,0,0,0,20170606,20170925
2377221,0,0,0,0,0,0,0,20171006,20171020
2377220,0,0,0,0,0,0,0,20171002,20171019
2383706,0,0,0,0,0,0,0,20170504,20171102
12377221,0,0,0,0,0,0,0,20171007,20171021
12377220,0,0,0,0,0,0,0,20171003,20171020
12280369,0,0,0,0,0,0,0,20170506,20171101
2280359,0,0,0,0,0,0,0,20170605,20170924
2377319,0,0,0,0,0,0,0,20170506,20171028
12280430,0,0,0,0,0,0,0,20170622,20170622
2377318,0,0,0,0,0,0,0,20170508,20171101
