service_id,date,exception_type
12280344,20170509,1
12280344,20170515,1
12280344,20170522,1
12280344,20170526,1
12280344,20170529,1
12280344,20171002,1
12280344,20171009,1
12280344,20171016,1
12280344,20171023,1
12280344,20171030,1
12280344,20171102,1
12280343,20170606,1
12280343,20170612,1
12280343,20170619,1
12280343,20170626,1
12280343,20170703,1
12280343,20170710,1
12280343,20170717,1
12280343,20170724,1
12280343,20170731,1
12280343,20170807,1
12280343,20170814,1
12280343,20170816,1
12280343,20170821,1
12280343,20170828,1
12280343,20170904,1
12280343,20170911,1
12280343,20170918,1
12280343,20170925,1
12280346,20170704,1
12280346,20170705,1
12280346,20170706,1
12280346,20170707,1
12280346,20170711,1
12280346,20170712,1
12280346,20170713,1
12280346,20170718,1
12280346,20170719,1
12280346,20170720,1
12280346,20170721,1
12280346,20170725,1
12280346,20170726,1
12280346,20170727,1
12280346,20170728,1
12280346,20170801,1
12280345,20170508,1
2280343,20170605,1
2280343,20170611,1
2280343,20170618,1
2280343,20170625,1
2280343,20170702,1
2280343,20170709,1
2280343,20170716,1
2280343,20170723,1
2280343,20170730,1
2280343,20170806,1
2280343,20170813,1
2280343,20170815,1
2280343,20170820,1
2280343,20170827,1
2280343,20170903,1
2280343,20170910,1
2280343,20170917,1
2280343,20170924,1
2280349,20170504,1
2280349,20170509,1
2280349,20170510,1
2280349,20170511,1
2280349,20170515,1
2280349,20170516,1
2280349,20170517,1
2280349,20170518,1
2280349,20170522,1
2280349,20170523,1
2280349,20170529,1
2280349,20170530,1
2280349,20170531,1
2280349,20170601,1
2280349,20170606,1
2280349,20170607,1
2280349,20170608,1
2280349,20170612,1
2280349,20170613,1
2280349,20170614,1
2280349,20170615,1
2280349,20170619,1
2280349,20170620,1
2280349,20170621,1
2280349,20170622,1
2280349,20170626,1
2280349,20170627,1
2280349,20170628,1
2280349,20170629,1
2280349,20170904,1
2280349,20170905,1
2280349,20170906,1
2280349,20170907,1
2280349,20170911,1
2280349,20170912,1
2280349,20170913,1
2280349,20170914,1
2280349,20170918,1
2280349,20170919,1
2280349,20170920,1
2280349,20170921,1
2280349,20170925,1
2280349,20170926,1
2280349,20170927,1
2280349,20170928,1
2280349,20171023,1
2280349,20171024,1
2280349,20171025,1
2280349,20171026,1
2280349,20171030,1
2280349,20171102,1
2280344,20170508,1
2280344,20170514,1
2280344,20170521,1
2280344,20170525,1
2280344,20170528,1
2280344,20171001,1
2280344,20171008,1
2280344,20171015,1
2280344,20171022,1
2280344,20171029,1
2280344,20171101,1
2280345,20170507,1
2280346,20170703,1
2280346,20170704,1
2280346,20170705,1
2280346,20170706,1
2280346,20170710,1
2280346,20170711,1
2280346,20170712,1
2280346,20170717,1
2280346,20170718,1
