from_stop_id,to_stop_id,transfer_type,min_transfer_time
3343778,4996987,2,254
3343778,4996988,2,217
3343778,4996989,2,207
3343335,4473424,2,191
3343796,4036201,2,224
3343765,3716875,2,343
3343777,4996989,2,207
3343782,4726953,2,257
5478284,3343805,2,207
5478284,3343806,2,207
3343777,967989,2,180
3343777,4996987,2,254
3343777,4996988,2,217
5478370,3343801,2,243
5478370,3343802,2,243
3343766,3811284,2,201
3343807,4035969,2,277
3343335,4037018,2,225
3343753,4726721,2,302
3343786,4726948,2,195
3343786,4726949,2,209
3343761,3687105,2,282
3343334,4473356,2,201
3343334,4473355,2,225
3343807,4035970,2,189
3343765,1166838,2,180
3343767,2224140,2,233
3343765,1166839,2,180
3343767,2224141,2,233
3343767,3764801,2,228
3343767,3764802,2,216
3343767,3764800,2,207
3343763,1980,2,180
3343767,3764803,2,233
3343767,2102,2,180
3343769,3764503,2,199
3343763,1982,2,180
3343766,3716943,2,209
3343808,3716908,2,186
3343762,2293,2,180
3343781,4044991,2,277
3343335,4473039,2,225
3343763,3716877,2,202
3343808,3686300,2,186
3343805,4035973,2,309
3343805,4035972,2,201
3343762,4037288,2,217
3343780,4726934,2,286
3343803,4035975,2,198
3343803,4035976,2,240
3343760,3687106,2,217
3343791,1698,2,180
3343772,4036654,2,253
3343777,6591526,2,229
3343808,3716910,2,277
3343334,3811274,2,191
3343334,3811275,2,251
3343764,2172,2,180
3343764,2170,2,180
3343775,3807568,2,195
3343775,3807569,2,189
3343776,2487,2,180
3343814,5688852,2,242
3343789,3748090,2,207
3343776,2488,2,180
3343776,4036865,2,246
3343764,3765442,2,209
3343764,3765441,2,239
3343789,3748089,2,280
3343334,4037018,2,225
3343756,2241,2,180
6591548,3343778,2,229
3343805,4035994,2,240
6591548,3343777,2,229
3343814,5688851,2,221
3343816,3686993,2,207
3343795,3765294,2,207
3343814,5688850,2,277
3343816,3686994,2,237
3343772,4726960,2,198
3343814,5688849,2,248
3343785,2063,2,180
3343785,2062,2,180
3343778,1647,2,180
3343785,3687123,2,241
3343778,4726932,2,229
3343776,4037046,2,270
3343755,1916,2,180
3343781,4997016,2,277
3343801,3813540,2,214
3343801,3813541,2,235
3343782,4726934,2,277
4723810,3343804,2,240
3343811,3619808,2,342
3343811,3619809,2,330
4723810,3343803,2,240
3343807,3663639,2,186
3343796,4036210,2,224
3686714,3343806,2,227
3343767,3811286,2,229
3686714,3343805,2,227
3343795,3765270,2,187
3343789,3748062,2,199
3343789,3748063,2,274
3343800,4036212,2,204
3343791,3926293,2,197
3343778,4726955,2,254
3343778,4726956,2,279
3343791,3926292,2,215
3343807,3663640,2,189
3343768,4036755,2,236
3343768,4036756,2,242
3343768,4036753,2,256
3343768,4036754,2,234
3343772,2457,2,180
3343768,4036752,2,249
3343788,3687254,2,217
3343767,4036658,2,256
3343767,4036657,2,236
3343786,4997021,2,241
3343786,4997020,2,197
3343777,2376,2,180
3343762,1897,2,180
3343777,2377,2,180
3343339,3893525,2,203
3343799,4036199,2,234
3343339,3893524,2,184
3343768,3764799,2,256
3343768,3764798,2,249
3343767,5138168,2,216
3343767,5138167,2,261
3343786,3687123,2,241
3343759,3687106,2,217
3343767,5138169,2,233
5478245,3343806,2,207
3343784,3747871,2,214
5478245,3343805,2,207
3343768,4008835,2,209
3343807,5675629,2,277
5478376,3343806,2,309
5478376,3343805,2,309
3343777,4037268,2,217
3343788,3687256,2,194
3343755,5121368,2,269
3343788,3687255,2,180
3343825,5675676,2,83
3343792,3926293,2,197
3343792,3926292,2,215
3343792,3747937,2,221
3343792,3747936,2,197
3343817,3619772,2,257
