service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2280389,0,0,0,0,0,0,0,20170603,20170923
2280388,0,0,0,0,0,0,0,20170703,20170731
12280382,0,0,0,0,0,0,0,20170508,20170508
2280387,0,0,0,0,0,0,0,20171002,20171019
12280383,0,0,0,0,0,0,0,20170509,20171102
2280386,0,0,0,0,0,0,0,20170504,20171102
12280384,0,0,0,0,0,0,0,20170606,20170925
2280385,0,0,0,0,0,0,0,20170801,20170831
12280385,0,0,0,0,0,0,0,20170802,20170901
2280384,0,0,0,0,0,0,0,20170605,20170924
12280386,0,0,0,0,0,0,0,20170505,20171103
2280383,0,0,0,0,0,0,0,20170508,20171101
12280387,0,0,0,0,0,0,0,20171003,20171020
2280382,0,0,0,0,0,0,0,20170507,20170507
12280388,0,0,0,0,0,0,0,20170704,20170801
12280389,0,0,0,0,0,0,0,20170604,20170924
2280390,0,0,0,0,0,0,0,20170506,20171028
12280392,0,0,0,0,0,0,0,20170805,20170826
12280393,0,0,0,0,0,0,0,20170506,20171101
12280390,0,0,0,0,0,0,0,20170507,20171029
12280391,0,0,0,0,0,0,0,20170527,20170729
2280392,0,0,0,0,0,0,0,20170804,20170825
2280391,0,0,0,0,0,0,0,20170526,20170728
12280394,0,0,0,0,0,0,0,20171007,20171021
2280394,0,0,0,0,0,0,0,20171006,20171020
2280393,0,0,0,0,0,0,0,20170505,20171031
