from_stop_id,to_stop_id,transfer_type,min_transfer_time
5761973,2484,2,387
3741095,2235,2,244
3765156,2452,2,237
1958,2235,2,420
3687298,2041,2,216
3687066,2394,2,229
1675,1674,2,111
2086,5018146,2,223
2086,5018147,2,212
1684,4022965,2,207
3749663,2401,2,188
1833,2371,2,72
1910,4035733,2,255
2090,2046,2,120
4037277,1791,2,188
4035806,1674,2,399
1676,1674,2,236
3666670,1910,2,244
5747301,2509,2,238
1784,3673600,2,226
5761436,2235,2,244
3749764,1910,2,242
4037173,2338,2,210
3740305,2120,2,227
3747967,1978,2,249
6217406,2148,2,191
4045027,1791,2,210
1795,4016314,2,203
6664352,2338,2,269
1910,4035724,2,244
6591783,2548,2,196
5761975,2484,2,196
2212,1910,2,420
4045031,2547,2,201
5158075,1795,2,273
1900,5747225,2,269
1900,5747226,2,205
5138025,2405,2,231
3687298,2160,2,216
3926407,2168,2,249
3687066,1784,2,229
3749921,1795,2,254
4037173,1833,2,210
5762024,2096,2,210
4037216,2029,2,259
4035809,2484,2,196
4008229,2504,2,200
5454903,2401,2,210
2126,2235,2,360
3764495,2401,2,210
2149,2148,2,89
3740333,2405,2,203
4472680,2494,2,230
6591551,1812,2,211
3740335,2401,2,210
2509,4459237,2,238
3740326,2494,2,209
5761986,2086,2,229
3666677,2235,2,255
6664351,1833,2,269
3666618,2235,2,244
5761992,2405,2,211
3687065,1784,2,226
4037174,1833,2,196
5710022,2086,2,212
5761436,1910,2,244
3749664,1791,2,210
3749762,2484,2,220
5762026,2086,2,201
3740312,1822,2,204
5231602,1784,2,226
4146147,2338,2,269
3740315,2029,2,201
4022898,2029,2,241
2126,1910,2,360
3666775,1910,2,255
6423508,1833,2,247
4037216,2148,2,259
1684,3749981,2,230
4037171,1833,2,247
2213,1910,2,420
3666625,2235,2,255
5138161,2120,2,254
4035807,1674,2,387
1684,3749702,2,207
1835,2338,2,196
2090,2096,2,120
2058,3926285,2,224
2297,2296,2,225
2029,5018181,2,279
5761986,2547,2,229
2029,5018182,2,257
2029,5018183,2,203
2058,3926284,2,211
2338,1651,2,138
1629,4459237,2,238
1833,1832,2,72
4211808,2086,2,229
4473105,2494,2,230
3740328,2361,2,213
4472680,1684,2,230
