service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2280410,0,0,0,0,0,0,0,20170804,20170825
2280411,0,0,0,0,0,0,0,20170602,20171031
2280412,0,0,0,0,0,0,0,20170526,20170728
12280401,0,0,0,0,0,0,0,20170605,20170715
12280400,0,0,0,0,0,0,0,20170509,20171102
12280403,0,0,0,0,0,0,0,20170704,20170901
12280402,0,0,0,0,0,0,0,20170508,20170508
12280405,0,0,0,0,0,0,0,20170505,20171020
12280404,0,0,0,0,0,0,0,20170802,20170825
12280407,0,0,0,0,0,0,0,20170604,20170924
12280406,0,0,0,0,0,0,0,20170602,20171103
2280399,0,0,0,0,0,0,0,20170605,20170924
12280409,0,0,0,0,0,0,0,20170506,20171021
12280408,0,0,0,0,0,0,0,20170507,20171029
2280405,0,0,0,0,0,0,0,20170504,20171019
2280406,0,0,0,0,0,0,0,20170601,20171102
2280403,0,0,0,0,0,0,0,20170703,20170831
12280399,0,0,0,0,0,0,0,20170606,20170925
2280404,0,0,0,0,0,0,0,20170801,20170824
2280401,0,0,0,0,0,0,0,20170604,20170714
2280402,0,0,0,0,0,0,0,20170507,20170507
2280400,0,0,0,0,0,0,0,20170508,20171101
2280409,0,0,0,0,0,0,0,20170505,20171020
2280408,0,0,0,0,0,0,0,20170506,20171028
2280407,0,0,0,0,0,0,0,20170603,20170923
12280410,0,0,0,0,0,0,0,20170805,20170826
12280411,0,0,0,0,0,0,0,20170603,20171101
12280412,0,0,0,0,0,0,0,20170527,20170729
