from_stop_id,to_stop_id,transfer_type,min_transfer_time
5727648,2390,2,284
2364,4045006,2,431
2475,4473031,2,270
2364,4045007,2,225
5018410,2404,2,248
2030,5018182,2,257
2187,1997,2,155
2030,5018183,2,203
2364,4045008,2,389
2364,4045009,2,432
2030,5018181,2,279
2186,4651125,2,270
3807591,1665,2,264
3765233,2497,2,222
2339,4037174,2,196
2339,4037173,2,210
4037252,1825,2,389
3764747,1825,2,418
2339,4037171,2,204
1665,4037008,2,270
1826,1825,2,396
2404,3765258,2,221
4009616,2364,2,226
2339,3926286,2,217
2404,3765306,2,221
2339,3926289,2,196
2073,4008854,2,240
6217406,2149,2,191
2339,3926287,2,198
2339,3926288,2,210
4473147,1825,2,431
5454936,2404,2,216
1825,4473027,2,235
6664352,2339,2,266
2241,1657,2,133
2364,3764994,2,370
1645,2409,2,90
1794,3765258,2,221
1825,4473028,2,254
4726762,2364,2,431
1825,4473029,2,229
2364,3764995,2,387
2364,3764996,2,287
3764756,2364,2,243
3813115,2364,2,418
2409,5138190,2,261
2391,3926247,2,288
2409,5138191,2,188
2094,3747849,2,205
2094,3747848,2,222
3343796,2094,2,180
2537,5121368,2,269
5018355,2404,2,248
2073,4008887,2,186
1782,2391,2,79
5018356,2404,2,214
2364,3687473,2,431
2186,4378088,2,259
2497,4008856,2,252
2497,4008855,2,242
4471838,1836,2,195
2186,4378089,2,283
5121383,2364,2,265
2149,2148,2,89
3764786,2364,2,287
1825,6591516,2,396
2149,2147,2,20
1781,5121375,2,208
2186,5138048,2,197
6664351,1834,2,266
2186,5138047,2,279
2363,2364,2,381
5018411,2404,2,214
3343796,2081,2,180
3764486,1997,2,207
1825,3887812,2,418
2094,3747851,2,207
4037297,1825,2,431
2391,3887810,2,218
2094,3747850,2,187
3754200,1997,2,270
1834,2371,2,90
1781,6591479,2,208
1781,4473030,2,208
4146147,2339,2,266
3764528,1794,2,199
2068,1956,2,900
1834,3926289,2,196
3813039,2364,2,389
1834,3926288,2,210
3765236,1687,2,225
4471839,2404,2,230
5454880,1794,2,199
2364,1827,2,126
6423491,2399,2,247
6423508,1834,2,204
2149,4008223,2,208
2149,4008222,2,191
1997,4472985,2,270
1834,3926287,2,198
4009618,1825,2,396
1834,3926286,2,217
1997,4472986,2,261
1794,3765306,2,221
5454923,2404,2,243
1962,3764830,2,284
2068,1166830,2,180
3716964,2117,2,196
2068,1166831,2,180
2497,3740323,2,251
1825,5122006,2,241
2497,3740322,2,252
1825,5122007,2,254
4022898,2030,2,241
2497,3740321,2,267
1825,5122008,2,233
3749891,2537,2,267
3812959,1781,2,208
2391,6591479,2,208
1962,3764829,2,285
4009620,1825,2,460
1836,3893375,2,195
4009619,1825,2,432
3343756,2537,2,180
2073,3740320,2,240
3749893,2537,2,187
5675639,2117,2,196
1997,4472998,2,210
2525,2409,2,90
3764747,2364,2,418
1997,3764671,2,210
4471735,2404,2,243
2073,3740324,2,186
3807618,2391,2,208
4726728,1665,2,256
1687,2517,2,96
3716924,2117,2,196
3764784,2364,2,418
6664351,2339,2,266
3764711,1825,2,403
1997,3764670,2,261
4022898,2149,2,241
2391,5121375,2,208
6423486,2339,2,189
3764437,1997,2,259
2186,5138192,2,279
2186,5138193,2,270
1665,4473031,2,270
2186,5138194,2,197
2186,5138195,2,240
3813002,2073,2,216
1781,3926247,2,288
2364,6591476,2,225
2364,6591475,2,254
4473149,1825,2,225
4473143,2186,2,261
4473147,2364,2,431
1836,3893374,2,216
2364,6591472,2,460
3672105,2339,2,266
2364,6591474,2,431
2364,6591473,2,432
3764786,1825,2,287
5018356,1794,2,214
3764708,2364,2,243
4471838,2303,2,195
4726763,2364,2,254
6673103,1997,2,270
2497,2517,2,81
5121383,1825,2,265
3764439,1997,2,261
2475,5121376,2,256
1781,4037007,2,208
2094,4036210,2,224
3764527,1794,2,243
3740533,1687,2,188
3764710,2364,2,395
1794,4036787,2,221
1794,4036786,2,243
2339,3748084,2,204
2339,3748086,2,190
2251,3811260,2,292
1794,3926337,2,216
6217405,2149,2,208
3764437,2186,2,259
3764784,1825,2,418
4037296,2364,2,460
2094,4036201,2,224
2081,4036201,2,224
1996,1997,2,105
5018357,2404,2,214
1781,3887810,2,218
4471839,1794,2,230
3343755,1657,2,180
1648,1794,2,112
4037298,1825,2,207
5454881,1794,2,216
3765235,2497,2,208
6217405,2030,2,208
2339,2531,2,200
2117,3813090,2,196
3747943,2094,2,224
3813001,2122,2,237
2117,1166830,2,180
2339,6664353,2,201
2117,1166831,2,180
2339,6664354,2,252
1657,6591481,2,269
1781,5151513,2,208
2339,6664357,2,203
3764486,2186,2,207
3740532,2497,2,222
2524,5582590,2,235
1996,2186,2,84
3764758,1825,2,403
2364,3926188,2,389
2364,3926189,2,432
4473143,1997,2,261
2068,3813090,2,196
2122,3740320,2,240
2122,3740324,2,186
3807591,2475,2,264
2543,4035982,2,237
1834,1835,2,200
2068,3813089,2,216
2364,3926190,2,460
2524,5582589,2,223
2122,4008887,2,186
2543,4035983,2,288
2364,4472995,2,396
4473149,2364,2,225
2117,3813089,2,216
2364,4472994,2,252
3749941,2537,2,223
4036885,1997,2,197
2364,4472993,2,252
3813038,1825,2,418
2364,4472992,2,431
1997,4651125,2,270
1834,1833,2,90
1645,1763,2,90
1834,1832,2,90
2497,1637,2,96
3343755,2537,2,180
1657,5121368,2,269
1825,5121374,2,222
6217400,2497,2,242
1825,5121373,2,254
1825,5121372,2,226
2030,2028,2,86
3764756,1825,2,243
3747943,2081,2,224
2030,2029,2,73
4146147,1834,2,266
4037252,2364,2,389
2404,3926308,2,243
2364,3442433,2,387
2404,3926309,2,199
2364,3442434,2,395
2364,3442432,2,370
3813139,2030,2,224
2364,3442436,2,243
4726703,1665,2,264
2364,3442435,2,287
5454924,2404,2,199
2149,2028,2,68
2149,2029,2,81
3764709,2364,2,287
3764708,1825,2,243
2122,4008854,2,240
6423508,2339,2,204
3749894,2537,2,198
3672170,1834,2,266
2399,3747859,2,210
6270772,1763,2,261
