route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id
1495356,2280310,10022803101193702,102,102,0,
1495356,2280311,10022803111193702,102,102,0,
1495356,2280312,10022803121193702,102,102,0,
1495356,2280317,10022803171193702,102,102,0,
1495356,2280318,10022803181193702,102,102,0,
1495356,2280319,10022803191193702,102,102,0,
1495356,2280310,10122803101193702,102,102,0,
1495356,2280311,10122803111193702,102,102,0,
1495356,2280312,10122803121193702,102,102,0,
1495356,2280317,10122803171193702,102,102,0,
1495356,2280318,10122803181193702,102,102,0,
1495356,2280319,10122803191193702,102,102,0,
1495356,2280310,10222803101193702,102,102,0,
1495356,2280311,10222803111193702,102,102,0,
1495356,2280312,10222803121193702,102,102,0,
1495356,2280317,10222803171193702,102,102,0,
1495356,2280318,10222803181193702,102,102,0,
1495356,2280319,10222803191193702,102,102,0,
1495356,2280310,1022803101193702,102,102,0,
1495356,2280311,1022803111193702,102,102,0,
1495356,2280312,1022803121193702,102,102,0,
1495356,2280317,1022803171193702,102,102,0,
1495356,2280318,1022803181193702,102,102,0,
1495356,2280319,1022803191193702,102,102,0,
1495356,2280310,10322803101193702,102,102,0,
1495356,2280311,10322803111193702,102,102,0,
1495356,2280312,10322803121193702,102,102,0,
1495356,2280317,10322803171193702,102,102,0,
1495356,2280318,10322803181193702,102,102,0,
1495356,2280319,10322803191193702,102,102,0,
1495356,2280310,10422803101193702,102,102,0,
1495356,2280311,10422803111193702,102,102,0,
1495356,2280312,10422803121193702,102,102,0,
1495356,2280317,10422803171193702,102,102,0,
1495356,2280318,10422803181193702,102,102,0,
1495356,2280319,10422803191193702,102,102,0,
1495356,2280310,10522803101193702,102,102,0,
1495356,2280311,10522803111193702,102,102,0,
1495356,2280312,10522803121193702,102,102,0,
1495356,2280317,10522803171193702,102,102,0,
1495356,2280318,10522803181193702,102,102,0,
1495356,2280319,10522803191193702,102,102,0,
1495356,2280310,10622803101193702,102,102,0,
1495356,2280311,10622803111193702,102,102,0,
1495356,2280312,10622803121193702,102,102,0,
1495356,2280317,10622803171193702,102,102,0,
1495356,2280318,10622803181193702,102,102,0,
1495356,2280319,10622803191193702,102,102,0,
1495356,2280310,10722803101193702,102,102,0,
1495356,2280311,10722803111193702,102,102,0,
1495356,2280312,10722803121193702,102,102,0,
1495356,2280317,10722803171193702,102,102,0,
1495356,2280318,10722803181193702,102,102,0,
1495356,2280319,10722803191193702,102,102,0,
1495356,2280310,10822803101193702,102,102,0,
1495356,2280311,10822803111193702,102,102,0,
1495356,2280312,10822803121193702,102,102,0,
1495356,2280317,10822803171193702,102,102,0,
1495356,2280318,10822803181193702,102,102,0,
1495356,2280319,10822803191193702,102,102,0,
1495356,2280310,10922803101193702,102,102,0,
1495356,2280311,10922803111193702,102,102,0,
1495356,2280312,10922803121193702,102,102,0,
1495356,2280317,10922803171193702,102,102,0,
1495356,2280318,10922803181193702,102,102,0,
1495356,2280319,10922803191193702,102,102,0,
1495356,2280310,11022803101193702,102,102,0,
1495356,2280311,11022803111193702,102,102,0,
1495356,2280312,11022803121193702,102,102,0,
1495356,2280317,11022803171193702,102,102,0,
1495356,2280318,11022803181193702,102,102,0,
1495356,2280319,11022803191193702,102,102,0,
1495356,2280310,11122803101193702,102,102,0,
1495356,2280311,11122803111193702,102,102,0,
1495356,2280312,11122803121193702,102,102,0,
1495356,2280317,11122803171193702,102,102,0,
1495356,2280318,11122803181193702,102,102,0,
1495356,2280319,11122803191193702,102,102,0,
1495356,2280310,11222803101193702,102,102,0,
1495356,2280311,11222803111193702,102,102,0,
1495356,2280312,11222803121193702,102,102,0,
1495356,2280317,11222803171193702,102,102,0,
1495356,2280318,11222803181193702,102,102,0,
1495356,2280319,11222803191193702,102,102,0,
1495356,2280310,1122803101193702,102,102,0,
1495356,2280311,1122803111193702,102,102,0,
