service_id,date,exception_type
12280288,20170718,1
12280288,20170719,1
12280288,20170720,1
12280288,20170721,1
12280288,20170725,1
12280288,20170726,1
12280288,20170727,1
12280288,20170728,1
12280288,20170801,1
12280288,20170802,1
12280288,20170803,1
12280288,20170804,1
12280288,20170808,1
12280288,20170809,1
12280288,20170810,1
12280288,20170811,1
2280284,20170508,1
2280284,20170514,1
2280284,20170521,1
2280284,20170525,1
2280284,20170528,1
2280284,20170605,1
2280284,20170611,1
2280284,20170618,1
2280284,20170625,1
2280284,20170903,1
2280284,20170910,1
2280284,20170917,1
2280284,20170924,1
2280284,20171001,1
2280284,20171008,1
2280284,20171015,1
2280284,20171022,1
2280284,20171029,1
2280284,20171101,1
12280289,20170704,1
12280289,20170705,1
12280289,20170706,1
12280289,20170707,1
12280289,20170711,1
12280289,20170712,1
12280289,20170713,1
12280289,20170817,1
12280289,20170818,1
12280289,20170822,1
12280289,20170823,1
12280289,20170824,1
12280289,20170825,1
12280289,20170829,1
12280289,20170830,1
12280289,20170831,1
12280289,20170901,1
2280288,20170717,1
2280288,20170718,1
2280288,20170719,1
2280288,20170720,1
2280288,20170724,1
2280288,20170725,1
2280288,20170726,1
2280288,20170727,1
2280288,20170731,1
2280288,20170801,1
2280288,20170802,1
2280288,20170803,1
2280288,20170807,1
2280288,20170808,1
2280288,20170809,1
2280288,20170810,1
12280284,20170509,1
12280284,20170515,1
12280284,20170522,1
12280284,20170526,1
12280284,20170529,1
12280284,20170606,1
12280284,20170612,1
12280284,20170619,1
12280284,20170626,1
12280284,20170904,1
12280284,20170911,1
12280284,20170918,1
12280284,20170925,1
12280284,20171002,1
12280284,20171009,1
12280284,20171016,1
12280284,20171023,1
12280284,20171030,1
12280284,20171102,1
2280287,20170504,1
2280287,20170509,1
2280287,20170510,1
2280287,20170511,1
2280287,20170515,1
2280287,20170516,1
2280287,20170517,1
2280287,20170518,1
2280287,20170522,1
2280287,20170523,1
2280287,20170529,1
2280287,20170530,1
2280287,20170531,1
2280287,20171002,1
2280287,20171003,1
2280287,20171004,1
2280287,20171005,1
2280287,20171009,1
2280287,20171010,1
2280287,20171011,1
2280287,20171012,1
2280287,20171016,1
2280287,20171017,1
2280287,20171018,1
2280287,20171019,1
12280285,20170508,1
12280285,20170605,1
12280286,20170703,1
12280286,20170710,1
