from_stop_id,to_stop_id,transfer_type,min_transfer_time
2467,3749688,2,214
2467,3749689,2,189
2313,5138167,2,261
2204,3672269,2,248
2313,5138168,2,216
1765,4036931,2,203
2396,4298519,2,268
6591844,2099,2,214
1722,4036661,2,227
2396,4298517,2,268
2313,5138169,2,233
2415,6263542,2,252
2416,4459235,2,196
2396,4298518,2,268
2415,6263540,2,238
2415,6263541,2,258
1722,4036660,2,254
2376,4726932,2,229
2099,4726929,2,213
2099,4726928,2,278
1950,3765282,2,243
2415,3926378,2,258
1950,3765283,2,216
1950,3765281,2,243
2467,4472774,2,227
2467,3749691,2,247
2467,4472773,2,192
2467,3749690,2,192
2416,3813147,2,198
2416,3813148,2,198
2415,3926380,2,252
1722,3926217,2,205
2007,4726924,2,229
6591545,2050,2,278
1889,3765151,2,257
1889,3765150,2,198
1630,4459237,2,238
1662,4726926,2,249
2467,4008837,2,269
2396,3813150,2,279
2050,3926436,2,214
2396,3813144,2,273
2396,3813146,2,224
2376,4726956,2,279
2376,4726955,2,254
3765460,1786,2,224
1786,4022972,2,224
1786,4022970,2,273
2285,5018222,2,198
1802,4024811,2,209
1802,4024810,2,218
2050,6591524,2,278
1738,4726741,2,198
2415,6263538,2,199
2467,3716945,2,214
2415,6263539,2,287
1766,6591526,2,229
2313,3764800,2,207
6591844,2050,2,214
2313,3764803,2,233
2313,3764802,2,216
2313,3764801,2,228
6613851,2416,2,228
2285,1890,2,77
6613851,1738,2,228
1949,3672244,2,248
2099,4036866,2,278
1802,3765183,2,232
1802,3765186,2,252
1935,4037282,2,220
1802,3765185,2,243
6591544,2375,2,203
1802,3765187,2,313
1950,3690050,2,219
1950,3690051,2,219
2416,4036665,2,198
2007,3807626,2,229
2376,4996989,2,207
1950,5231599,2,225
6591843,1683,2,196
2376,4044990,2,207
2376,4996987,2,254
2376,4996988,2,217
1846,5018223,2,249
1935,5747303,2,230
1935,5747302,2,244
2375,4036931,2,203
1738,5747298,2,198
1738,5747297,2,196
1889,3765191,2,198
6591548,1766,2,229
2204,3672244,2,248
2205,6263536,2,211
1737,5231596,2,252
2205,6263537,2,211
1737,5231597,2,287
2313,2102,2,300
2050,4726928,2,278
1662,5454899,2,316
1738,4023264,2,198
1738,4023265,2,198
2376,2527,2,118
2050,4726929,2,213
1683,6591451,2,196
1683,6591452,2,220
2313,2224140,2,233
2313,2224141,2,233
2205,5231599,2,225
2542,4726926,2,249
2510,3740310,2,241
2050,2051,2,93
2341,5747350,2,225
3343777,2376,2,180
3765459,2396,2,231
1766,4044990,2,207
1722,3749688,2,214
2260,4459238,2,244
1722,4473118,2,254
1722,4473119,2,247
1722,4473116,2,231
1722,4473117,2,231
1722,3749689,2,189
2493,6591452,2,220
2099,3764657,2,278
2493,6591451,2,196
1722,3749690,2,192
1722,3749691,2,247
3765458,2396,2,225
1722,5158083,2,216
1722,5158082,2,241
1722,5158081,2,226
2044,4017041,2,200
2044,4017040,2,270
2313,3747818,2,233
2313,3747817,2,242
2376,3926397,2,217
2376,3926396,2,204
2313,3747814,2,256
2313,3747813,2,249
2313,3747816,2,228
2313,3747815,2,234
2415,3672266,2,258
3343767,2313,2,180
1935,3749917,2,240
1935,3749918,2,220
2467,4473192,2,247
2467,4473191,2,225
2467,4473190,2,225
1766,6423466,2,207
1766,6423465,2,253
1766,6423469,2,256
1766,6423468,2,243
2204,5922171,2,269
1766,6423467,2,217
2514,5018174,2,216
2514,5018173,2,259
1722,5657267,2,189
1722,5657268,2,199
2375,3807629,2,222
2285,4009641,2,241
1786,3749984,2,224
2395,3673599,2,229
1722,4036827,2,254
1889,4036750,2,198
2389,3747923,2,256
6591842,1766,2,217
1737,4036625,2,252
2389,3747924,2,252
1737,4036626,2,287
1889,4036751,2,186
2285,3765191,2,198
2260,5747303,2,230
2260,5747302,2,244
6591842,2376,2,217
1634,5018173,2,259
1634,5018174,2,216
2313,5018223,2,249
2285,2286,2,86
1935,4472771,2,244
2376,6423466,2,207
1935,4472772,2,230
2376,6423465,2,253
2376,6423468,2,243
2376,6423467,2,217
2467,4459239,2,226
1846,4008835,2,209
1722,3716945,2,214
3343768,1846,2,180
2376,6423469,2,256
2467,4459240,2,216
2099,2051,2,111
1802,5747350,2,225
1766,4996987,2,254
1766,4996988,2,217
1766,4996989,2,207
1765,5018389,2,203
2467,4008888,2,225
2415,5231626,2,258
2415,5231625,2,199
2285,4036660,2,257
1889,5018190,2,257
1737,3813317,2,207
1737,3926378,2,258
1722,4009642,2,269
2285,3765151,2,257
2285,3765150,2,198
2277,4009649,2,231
1786,4298518,2,268
1786,4298517,2,268
1889,5018189,2,198
2205,4036628,2,225
1786,4298519,2,268
2205,4036629,2,190
2467,4037283,2,226
2050,5018335,2,278
1950,4036629,2,190
1950,4036628,2,225
6613850,1738,2,211
6613813,1738,2,216
2277,4009650,2,222
2285,4036659,2,186
2204,4146139,2,277
2415,4146112,2,252
1766,4037268,2,217
1722,4009664,2,225
1785,3673599,2,229
2467,1166841,2,180
2467,1166840,2,180
1765,3807629,2,222
1722,3747809,2,195
3765461,2416,2,196
2467,4726963,2,200
2341,3765187,2,313
1722,3893335,2,195
2341,3765186,2,252
1722,3893336,2,195
2341,3765185,2,243
1737,3672266,2,258
2341,3765183,2,232
2416,4022974,2,195
2285,4459241,2,198
2416,4022975,2,196
1950,2539,2,61
1737,3813316,2,216
