service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2280325,0,0,0,0,0,0,0,20170508,20171101
2280324,0,0,0,0,0,0,0,20170605,20170924
2280327,0,0,0,0,0,0,0,20170504,20171102
2280326,0,0,0,0,0,0,0,20170507,20170507
2280329,0,0,0,0,0,0,0,20171002,20171019
2280328,0,0,0,0,0,0,0,20170801,20170831
12280336,0,0,0,0,0,0,0,20170527,20170729
12280324,0,0,0,0,0,0,0,20170606,20170925
12280331,0,0,0,0,0,0,0,20170507,20171029
12280330,0,0,0,0,0,0,0,20170704,20170801
12280335,0,0,0,0,0,0,0,20171007,20171021
12280334,0,0,0,0,0,0,0,20170805,20170826
12280333,0,0,0,0,0,0,0,20170506,20171101
12280332,0,0,0,0,0,0,0,20170604,20170924
2280336,0,0,0,0,0,0,0,20170526,20170728
2280335,0,0,0,0,0,0,0,20171006,20171020
2280334,0,0,0,0,0,0,0,20170804,20170825
2280333,0,0,0,0,0,0,0,20170505,20171031
12280327,0,0,0,0,0,0,0,20170505,20171103
12280328,0,0,0,0,0,0,0,20170802,20170901
12280325,0,0,0,0,0,0,0,20170509,20171102
12280326,0,0,0,0,0,0,0,20170508,20170508
2280332,0,0,0,0,0,0,0,20170603,20170923
2280331,0,0,0,0,0,0,0,20170506,20171028
12280329,0,0,0,0,0,0,0,20171003,20171020
2280330,0,0,0,0,0,0,0,20170703,20170731
