from_stop_id,to_stop_id,transfer_type,min_transfer_time
3747911,1954,2,254
4473658,2250,2,220
4471735,1648,2,243
2314,3926208,2,233
2314,3926209,2,216
1744,3972545,2,192
1744,3972544,2,210
6251863,1854,2,269
6423460,2209,2,225
2208,1954,2,59
4378353,2347,2,253
6423461,2209,2,208
2506,4378066,2,261
2221,4036985,2,220
2221,4036986,2,189
1925,3754327,2,322
5018423,1925,2,220
4658206,1744,2,203
5018392,2209,2,185
6114723,1966,2,281
2199,4035790,2,310
2314,3926210,2,209
2199,4035792,2,202
2199,4035791,2,221
2314,3926212,2,256
2314,3926211,2,207
1675,1676,2,110
2314,3926213,2,249
1966,3764617,2,216
5761970,2448,2,234
1966,3764615,2,312
1966,3764616,2,219
5018433,2495,2,182
6251862,1696,2,187
1847,2102,2,300
1954,3764653,2,225
1966,3764812,2,220
1966,3764811,2,243
2055,6682559,2,254
2055,6682558,2,199
2085,4035559,2,240
5761975,2486,2,196
4037787,1966,2,300
3740501,1954,2,263
6251761,2321,2,275
4471742,1740,2,211
1805,3764546,2,214
2345,4036766,2,276
1954,4044988,2,203
2314,4036754,2,234
5018410,2528,2,248
6251781,2519,2,195
2345,3442417,2,238
2314,4036753,2,256
2345,3442418,2,231
2314,4036752,2,249
1954,3666561,2,213
4726739,2221,2,243
4843454,1871,2,220
1954,3666562,2,194
2314,4036756,2,242
2314,4036755,2,236
4423342,2505,2,193
5018349,2139,2,228
3807564,1954,2,225
5710090,2345,2,223
1847,4459244,2,242
2505,6143543,2,315
2505,6143542,2,195
1847,4459243,2,234
3747910,2209,2,255
1847,4459242,2,249
4658218,1911,2,197
3747913,2546,2,240
6591774,1860,2,270
1966,2155,2,298
3749762,2486,2,340
3812922,2345,2,231
4037787,2221,2,300
5018331,2209,2,254
2209,3666673,2,194
5688817,1695,2,207
2209,3666672,2,213
4471735,2528,2,243
1808,6446061,2,214
3785972,1871,2,211
5761978,2327,2,260
1648,5454924,2,199
1648,5454923,2,243
4037786,1966,2,218
5018410,1648,2,248
4658159,2055,2,185
5605601,1944,2,222
6251781,1639,2,195
6251771,1808,2,189
1966,3764845,2,368
4658255,2199,2,310
1944,5944484,2,203
2321,3893443,2,275
1944,4758990,2,310
1944,5944485,2,203
1966,3687428,2,256
2321,3893444,2,279
2321,3893441,2,237
2321,3893442,2,266
5018431,1808,2,207
1854,3893442,2,266
1854,3893441,2,237
1854,3893444,2,279
3807564,2209,2,225
1854,3893443,2,275
1648,5454936,2,216
3765147,1847,2,274
1953,1954,2,67
6251761,1854,2,275
1944,5150444,2,198
1849,3749683,2,277
5018419,2250,2,211
