service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
12280279,0,0,0,0,0,0,0,20170602,20170929
2280283,0,0,0,0,0,0,0,20170505,20171031
2280282,0,0,0,0,0,0,0,20170526,20170929
12280278,0,0,0,0,0,0,0,20170509,20171102
2280281,0,0,0,0,0,0,0,20170506,20171028
12280280,0,0,0,0,0,0,0,20170505,20171103
12280281,0,0,0,0,0,0,0,20170507,20171029
12280282,0,0,0,0,0,0,0,20170527,20170930
12280283,0,0,0,0,0,0,0,20170506,20171101
2280280,0,0,0,0,0,0,0,20170504,20171102
2280279,0,0,0,0,0,0,0,20170601,20170928
2280278,0,0,0,0,0,0,0,20170508,20171101
