trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,shape_dist_traveled
10022803370651583,17:05:00,17:05:00,1756,1,,
10022803370651583,17:06:00,17:06:00,1635,2,,
10022803370651583,17:08:00,17:08:00,2002,3,,
10022803370651583,17:09:00,17:09:00,2013,4,,
10022803370651583,17:10:00,17:10:00,2075,5,,
10022803370651583,17:11:00,17:11:00,1902,6,,
10022803370651583,17:13:00,17:13:00,1861,7,,
10022803380651583,13:44:00,13:44:00,1756,1,,
10022803380651583,13:45:00,13:45:00,1635,2,,
10022803380651583,13:47:00,13:47:00,2002,3,,
10022803380651583,13:48:00,13:48:00,2013,4,,
10022803380651583,13:50:00,13:50:00,2075,5,,
10022803380651583,13:51:00,13:51:00,1902,6,,
10022803380651583,13:52:00,13:52:00,1861,7,,
10022803390651583,14:36:00,14:36:00,1756,1,,
10022803390651583,14:37:00,14:37:00,1635,2,,
10022803390651583,14:39:00,14:39:00,2002,3,,
10022803390651583,14:40:00,14:40:00,2013,4,,
10022803390651583,14:42:00,14:42:00,2075,5,,
10022803390651583,14:43:00,14:43:00,1902,6,,
10022803390651583,14:44:00,14:44:00,1861,7,,
10022803400651583,17:05:00,17:05:00,1756,1,,
10022803400651583,17:06:00,17:06:00,1635,2,,
10022803400651583,17:08:00,17:08:00,2002,3,,
10022803400651583,17:09:00,17:09:00,2013,4,,
10022803400651583,17:10:00,17:10:00,2075,5,,
10022803400651583,17:11:00,17:11:00,1902,6,,
10022803400651583,17:13:00,17:13:00,1861,7,,
10022803410651583,13:44:00,13:44:00,1756,1,,
10022803410651583,13:45:00,13:45:00,1635,2,,
10022803410651583,13:47:00,13:47:00,2002,3,,
10022803410651583,13:48:00,13:48:00,2013,4,,
10022803410651583,13:50:00,13:50:00,2075,5,,
10022803410651583,13:51:00,13:51:00,1902,6,,
10022803410651583,13:52:00,13:52:00,1861,7,,
10022803420651583,14:36:00,14:36:00,1756,1,,
10022803420651583,14:37:00,14:37:00,1635,2,,
10022803420651583,14:39:00,14:39:00,2002,3,,
10022803420651583,14:40:00,14:40:00,2013,4,,
10022803420651583,14:41:00,14:41:00,2075,5,,
10022803420651583,14:42:00,14:42:00,1902,6,,
10022803420651583,14:44:00,14:44:00,1861,7,,
10122803370651583,17:11:00,17:11:00,1756,1,,
10122803370651583,17:12:00,17:12:00,1635,2,,
10122803370651583,17:14:00,17:14:00,2002,3,,
10122803370651583,17:15:00,17:15:00,2013,4,,
10122803370651583,17:16:00,17:16:00,2075,5,,
10122803370651583,17:17:00,17:17:00,1902,6,,
10122803370651583,17:19:00,17:19:00,1861,7,,
10122803380651583,13:50:00,13:50:00,1756,1,,
10122803380651583,13:51:00,13:51:00,1635,2,,
10122803380651583,13:52:00,13:52:00,2002,3,,
10122803380651583,13:53:00,13:53:00,2013,4,,
10122803380651583,13:55:00,13:55:00,2075,5,,
10122803380651583,13:56:00,13:56:00,1902,6,,
10122803380651583,13:57:00,13:57:00,1861,7,,
10122803390651583,14:42:00,14:42:00,1756,1,,
10122803390651583,14:43:00,14:43:00,1635,2,,
10122803390651583,14:44:00,14:44:00,2002,3,,
10122803390651583,14:45:00,14:45:00,2013,4,,
10122803390651583,14:47:00,14:47:00,2075,5,,
10122803390651583,14:48:00,14:48:00,1902,6,,
10122803390651583,14:49:00,14:49:00,1861,7,,
10122803400651583,17:11:00,17:11:00,1756,1,,
10122803400651583,17:12:00,17:12:00,1635,2,,
10122803400651583,17:14:00,17:14:00,2002,3,,
10122803400651583,17:15:00,17:15:00,2013,4,,
10122803400651583,17:16:00,17:16:00,2075,5,,
10122803400651583,17:17:00,17:17:00,1902,6,,
10122803400651583,17:19:00,17:19:00,1861,7,,
10122803410651583,13:50:00,13:50:00,1756,1,,
10122803410651583,13:51:00,13:51:00,1635,2,,
10122803410651583,13:52:00,13:52:00,2002,3,,
10122803410651583,13:53:00,13:53:00,2013,4,,
10122803410651583,13:55:00,13:55:00,2075,5,,
10122803410651583,13:56:00,13:56:00,1902,6,,
10122803410651583,13:57:00,13:57:00,1861,7,,
10122803420651583,14:42:00,14:42:00,1756,1,,
10122803420651583,14:43:00,14:43:00,1635,2,,
10122803420651583,14:44:00,14:44:00,2002,3,,
10122803420651583,14:45:00,14:45:00,2013,4,,
10122803420651583,14:47:00,14:47:00,2075,5,,
10122803420651583,14:48:00,14:48:00,1902,6,,
10122803420651583,14:49:00,14:49:00,1861,7,,
10222803370651583,17:17:00,17:17:00,1756,1,,
10222803370651583,17:18:00,17:18:00,1635,2,,
10222803370651583,17:20:00,17:20:00,2002,3,,
10222803370651583,17:21:00,17:21:00,2013,4,,
10222803370651583,17:22:00,17:22:00,2075,5,,
10222803370651583,17:23:00,17:23:00,1902,6,,
10222803370651583,17:25:00,17:25:00,1861,7,,
10222803380651583,13:55:00,13:55:00,1756,1,,
10222803380651583,13:56:00,13:56:00,1635,2,,
10222803380651583,13:57:00,13:57:00,2002,3,,
10222803380651583,13:59:00,13:59:00,2013,4,,
10222803380651583,14:00:00,14:00:00,2075,5,,
10222803380651583,14:01:00,14:01:00,1902,6,,
10222803380651583,14:03:00,14:03:00,1861,7,,
10222803390651583,14:47:00,14:47:00,1756,1,,
10222803390651583,14:48:00,14:48:00,1635,2,,
10222803390651583,14:49:00,14:49:00,2002,3,,
10222803390651583,14:51:00,14:51:00,2013,4,,
10222803390651583,14:52:00,14:52:00,2075,5,,
10222803390651583,14:53:00,14:53:00,1902,6,,
10222803390651583,14:55:00,14:55:00,1861,7,,
10222803400651583,17:17:00,17:17:00,1756,1,,
10222803400651583,17:18:00,17:18:00,1635,2,,
10222803400651583,17:20:00,17:20:00,2002,3,,
10222803400651583,17:21:00,17:21:00,2013,4,,
10222803400651583,17:22:00,17:22:00,2075,5,,
10222803400651583,17:23:00,17:23:00,1902,6,,
10222803400651583,17:25:00,17:25:00,1861,7,,
10222803410651583,13:55:00,13:55:00,1756,1,,
10222803410651583,13:56:00,13:56:00,1635,2,,
10222803410651583,13:57:00,13:57:00,2002,3,,
10222803410651583,13:59:00,13:59:00,2013,4,,
10222803410651583,14:00:00,14:00:00,2075,5,,
10222803410651583,14:01:00,14:01:00,1902,6,,
10222803410651583,14:03:00,14:03:00,1861,7,,
10222803420651583,14:47:00,14:47:00,1756,1,,
10222803420651583,14:48:00,14:48:00,1635,2,,
10222803420651583,14:49:00,14:49:00,2002,3,,
10222803420651583,14:50:00,14:50:00,2013,4,,
10222803420651583,14:52:00,14:52:00,2075,5,,
10222803420651583,14:53:00,14:53:00,1902,6,,
10222803420651583,14:54:00,14:54:00,1861,7,,
1022803370651583,06:42:00,06:42:00,1756,1,,
1022803370651583,06:43:00,06:43:00,1635,2,,
1022803370651583,06:44:00,06:44:00,2002,3,,
1022803370651583,06:45:00,06:45:00,2013,4,,
1022803370651583,06:47:00,06:47:00,2075,5,,
1022803370651583,06:48:00,06:48:00,1902,6,,
1022803370651583,06:49:00,06:49:00,1861,7,,
1022803380651583,06:43:00,06:43:00,1756,1,,
1022803380651583,06:44:00,06:44:00,1635,2,,
1022803380651583,06:45:00,06:45:00,2002,3,,
1022803380651583,06:46:00,06:46:00,2013,4,,
1022803380651583,06:48:00,06:48:00,2075,5,,
1022803380651583,06:49:00,06:49:00,1902,6,,
1022803380651583,06:50:00,06:50:00,1861,7,,
1022803390651583,06:43:00,06:43:00,1756,1,,
1022803390651583,06:44:00,06:44:00,1635,2,,
1022803390651583,06:45:00,06:45:00,2002,3,,
1022803390651583,06:46:00,06:46:00,2013,4,,
1022803390651583,06:48:00,06:48:00,2075,5,,
1022803390651583,06:49:00,06:49:00,1902,6,,
1022803390651583,06:50:00,06:50:00,1861,7,,
1022803400651583,06:42:00,06:42:00,1756,1,,
1022803400651583,06:43:00,06:43:00,1635,2,,
1022803400651583,06:44:00,06:44:00,2002,3,,
1022803400651583,06:45:00,06:45:00,2013,4,,
1022803400651583,06:47:00,06:47:00,2075,5,,
1022803400651583,06:48:00,06:48:00,1902,6,,
1022803400651583,06:49:00,06:49:00,1861,7,,
1022803410651583,06:43:00,06:43:00,1756,1,,
1022803410651583,06:44:00,06:44:00,1635,2,,
1022803410651583,06:45:00,06:45:00,2002,3,,
1022803410651583,06:46:00,06:46:00,2013,4,,
1022803410651583,06:48:00,06:48:00,2075,5,,
1022803410651583,06:49:00,06:49:00,1902,6,,
1022803410651583,06:50:00,06:50:00,1861,7,,
1022803420651583,06:43:00,06:43:00,1756,1,,
1022803420651583,06:44:00,06:44:00,1635,2,,
1022803420651583,06:45:00,06:45:00,2002,3,,
1022803420651583,06:46:00,06:46:00,2013,4,,
1022803420651583,06:47:00,06:47:00,2075,5,,
1022803420651583,06:48:00,06:48:00,1902,6,,
1022803420651583,06:50:00,06:50:00,1861,7,,
10322803370651583,17:23:00,17:23:00,1756,1,,
10322803370651583,17:24:00,17:24:00,1635,2,,
10322803370651583,17:26:00,17:26:00,2002,3,,
10322803370651583,17:27:00,17:27:00,2013,4,,
10322803370651583,17:28:00,17:28:00,2075,5,,
10322803370651583,17:29:00,17:29:00,1902,6,,
10322803370651583,17:31:00,17:31:00,1861,7,,
10322803380651583,14:00:00,14:00:00,1756,1,,
10322803380651583,14:01:00,14:01:00,1635,2,,
10322803380651583,14:03:00,14:03:00,2002,3,,
10322803380651583,14:04:00,14:04:00,2013,4,,
10322803380651583,14:05:00,14:05:00,2075,5,,
10322803380651583,14:07:00,14:07:00,1902,6,,
10322803380651583,14:08:00,14:08:00,1861,7,,
10322803390651583,14:52:00,14:52:00,1756,1,,
10322803390651583,14:53:00,14:53:00,1635,2,,
10322803390651583,14:55:00,14:55:00,2002,3,,
10322803390651583,14:56:00,14:56:00,2013,4,,
10322803390651583,14:57:00,14:57:00,2075,5,,
10322803390651583,14:59:00,14:59:00,1902,6,,
10322803390651583,15:00:00,15:00:00,1861,7,,
10322803400651583,17:23:00,17:23:00,1756,1,,
10322803400651583,17:24:00,17:24:00,1635,2,,
10322803400651583,17:26:00,17:26:00,2002,3,,
10322803400651583,17:27:00,17:27:00,2013,4,,
10322803400651583,17:28:00,17:28:00,2075,5,,
10322803400651583,17:29:00,17:29:00,1902,6,,
10322803400651583,17:31:00,17:31:00,1861,7,,
10322803410651583,14:00:00,14:00:00,1756,1,,
10322803410651583,14:01:00,14:01:00,1635,2,,
10322803410651583,14:03:00,14:03:00,2002,3,,
10322803410651583,14:04:00,14:04:00,2013,4,,
10322803410651583,14:05:00,14:05:00,2075,5,,
10322803410651583,14:07:00,14:07:00,1902,6,,
10322803410651583,14:08:00,14:08:00,1861,7,,
10322803420651583,14:52:00,14:52:00,1756,1,,
10322803420651583,14:53:00,14:53:00,1635,2,,
10322803420651583,14:55:00,14:55:00,2002,3,,
10322803420651583,14:56:00,14:56:00,2013,4,,
10322803420651583,14:57:00,14:57:00,2075,5,,
10322803420651583,14:58:00,14:58:00,1902,6,,
10322803420651583,14:59:00,14:59:00,1861,7,,
10422803370651583,17:29:00,17:29:00,1756,1,,
10422803370651583,17:30:00,17:30:00,1635,2,,
10422803370651583,17:32:00,17:32:00,2002,3,,
10422803370651583,17:33:00,17:33:00,2013,4,,
10422803370651583,17:34:00,17:34:00,2075,5,,
10422803370651583,17:35:00,17:35:00,1902,6,,
10422803370651583,17:37:00,17:37:00,1861,7,,
10422803380651583,14:05:00,14:05:00,1756,1,,
10422803380651583,14:06:00,14:06:00,1635,2,,
10422803380651583,14:08:00,14:08:00,2002,3,,
10422803380651583,14:09:00,14:09:00,2013,4,,
10422803380651583,14:11:00,14:11:00,2075,5,,
10422803380651583,14:12:00,14:12:00,1902,6,,
10422803380651583,14:13:00,14:13:00,1861,7,,
10422803390651583,14:57:00,14:57:00,1756,1,,
10422803390651583,14:58:00,14:58:00,1635,2,,
10422803390651583,15:00:00,15:00:00,2002,3,,
10422803390651583,15:01:00,15:01:00,2013,4,,
10422803390651583,15:03:00,15:03:00,2075,5,,
10422803390651583,15:04:00,15:04:00,1902,6,,
10422803390651583,15:05:00,15:05:00,1861,7,,
10422803400651583,17:29:00,17:29:00,1756,1,,
10422803400651583,17:30:00,17:30:00,1635,2,,
10422803400651583,17:32:00,17:32:00,2002,3,,
10422803400651583,17:33:00,17:33:00,2013,4,,
10422803400651583,17:34:00,17:34:00,2075,5,,
10422803400651583,17:35:00,17:35:00,1902,6,,
10422803400651583,17:37:00,17:37:00,1861,7,,
10422803410651583,14:05:00,14:05:00,1756,1,,
10422803410651583,14:06:00,14:06:00,1635,2,,
10422803410651583,14:08:00,14:08:00,2002,3,,
10422803410651583,14:09:00,14:09:00,2013,4,,
10422803410651583,14:11:00,14:11:00,2075,5,,
10422803410651583,14:12:00,14:12:00,1902,6,,
10422803410651583,14:13:00,14:13:00,1861,7,,
10422803420651583,14:57:00,14:57:00,1756,1,,
10422803420651583,14:58:00,14:58:00,1635,2,,
10422803420651583,15:00:00,15:00:00,2002,3,,
10422803420651583,15:01:00,15:01:00,2013,4,,
10422803420651583,15:02:00,15:02:00,2075,5,,
10422803420651583,15:03:00,15:03:00,1902,6,,
10422803420651583,15:05:00,15:05:00,1861,7,,
10522803370651583,17:35:00,17:35:00,1756,1,,
10522803370651583,17:36:00,17:36:00,1635,2,,
10522803370651583,17:38:00,17:38:00,2002,3,,
10522803370651583,17:39:00,17:39:00,2013,4,,
10522803370651583,17:40:00,17:40:00,2075,5,,
10522803370651583,17:41:00,17:41:00,1902,6,,
10522803370651583,17:43:00,17:43:00,1861,7,,
10522803380651583,14:11:00,14:11:00,1756,1,,
10522803380651583,14:12:00,14:12:00,1635,2,,
10522803380651583,14:13:00,14:13:00,2002,3,,
10522803380651583,14:14:00,14:14:00,2013,4,,
10522803380651583,14:16:00,14:16:00,2075,5,,
10522803380651583,14:17:00,14:17:00,1902,6,,
10522803380651583,14:18:00,14:18:00,1861,7,,
10522803390651583,15:03:00,15:03:00,1756,1,,
10522803390651583,15:04:00,15:04:00,1635,2,,
10522803390651583,15:05:00,15:05:00,2002,3,,
10522803390651583,15:06:00,15:06:00,2013,4,,
10522803390651583,15:08:00,15:08:00,2075,5,,
10522803390651583,15:09:00,15:09:00,1902,6,,
10522803390651583,15:10:00,15:10:00,1861,7,,
10522803400651583,17:35:00,17:35:00,1756,1,,
10522803400651583,17:36:00,17:36:00,1635,2,,
10522803400651583,17:38:00,17:38:00,2002,3,,
10522803400651583,17:39:00,17:39:00,2013,4,,
10522803400651583,17:40:00,17:40:00,2075,5,,
10522803400651583,17:41:00,17:41:00,1902,6,,
10522803400651583,17:43:00,17:43:00,1861,7,,
10522803410651583,14:11:00,14:11:00,1756,1,,
10522803410651583,14:12:00,14:12:00,1635,2,,
10522803410651583,14:13:00,14:13:00,2002,3,,
10522803410651583,14:14:00,14:14:00,2013,4,,
10522803410651583,14:16:00,14:16:00,2075,5,,
10522803410651583,14:17:00,14:17:00,1902,6,,
10522803410651583,14:18:00,14:18:00,1861,7,,
10522803420651583,15:03:00,15:03:00,1756,1,,
10522803420651583,15:04:00,15:04:00,1635,2,,
10522803420651583,15:05:00,15:05:00,2002,3,,
10522803420651583,15:06:00,15:06:00,2013,4,,
10522803420651583,15:08:00,15:08:00,2075,5,,
10522803420651583,15:09:00,15:09:00,1902,6,,
10522803420651583,15:10:00,15:10:00,1861,7,,
10622803370651583,17:41:00,17:41:00,1756,1,,
10622803370651583,17:42:00,17:42:00,1635,2,,
10622803370651583,17:44:00,17:44:00,2002,3,,
