from_stop_id,to_stop_id,transfer_type,min_transfer_time
4035558,2328,2,251
5770776,1797,2,252
1860,2328,2,75
4035555,2298,2,269
5761977,2328,2,196
3747968,1861,2,270
1902,5747226,2,205
1902,5747225,2,269
5761978,2328,2,260
5657287,2124,2,225
5657286,2075,2,195
1797,1798,2,75
4035818,1902,2,264
5657285,2298,2,264
1797,2408,2,79
1902,1900,2,143
3749761,1902,2,205
3749760,2298,2,269
3749760,1902,2,269
5761978,1861,2,260
5761977,1861,2,196
1902,2296,2,143
1860,1861,2,60
3749797,2434,2,206
5657322,1902,2,220
2328,4036974,2,270
3749753,2191,2,225
2328,4036975,2,251
2297,2298,2,161
3926419,1635,2,216
4035811,1861,2,270
6591775,1861,2,251
6591775,2328,2,251
4035557,1861,2,270
2328,5747227,2,270
3749751,1797,2,252
2328,5747228,2,251
3749750,1797,2,255
5770778,2191,2,225
3749797,1756,2,206
3749752,2002,2,226
4035556,1902,2,205
5657283,2328,2,251
3749753,2002,2,225
2327,1861,2,70
3749796,1756,2,275
2298,5747225,2,269
2298,5747226,2,205
4035818,2298,2,264
2298,4036973,2,205
2298,4036972,2,269
4035812,1861,2,251
2327,2328,2,60
3749761,2298,2,205
5770778,2002,2,225
5657283,1861,2,251
3749796,2434,2,275
3749752,2191,2,226
4035555,1902,2,269
5657287,2075,2,225
1901,2298,2,166
5770777,2002,2,226
6591782,2298,2,264
1902,4036972,2,269
6591774,2328,2,270
5657285,1902,2,264
1861,4036974,2,270
2298,1900,2,133
1861,4036975,2,251
1902,4036973,2,205
1901,1902,2,174
5657286,2124,2,195
2298,2296,2,133
5657284,2328,2,196
5657284,1861,2,196
4035811,2328,2,270
4035557,2328,2,270
4035556,2298,2,205
6591782,1902,2,264
3747968,2328,2,270
6591774,1861,2,270
2297,1902,2,168
5770775,1797,2,255
3926418,1635,2,217
4035812,2328,2,251
1861,5747227,2,270
1861,5747228,2,251
5770777,2191,2,226
4035558,1861,2,251
5657322,2298,2,220
